,El-array,Spa.1,Spa.2,Spa.3,Spa.4,Rho ,Dev., M  ,Sp  ,Vp  ,In  ,Time,Spa.5,Spa.6,Spa.7,Spa.8,Spa.9,Spa.10,Spa.11,Spa.12,M1  ,M2  ,M3  ,M4  ,M5  ,M6  ,M7  ,M8  ,M9  ,M10  ,M11 ,M12 ,M13 ,M14 ,M15 ,M16 ,M17 ,M18 ,M19 ,M20 ,Mdly,TM1 ,TM2 ,TM3 ,TM4 ,TM5 ,TM6 ,TM7 ,TM8 ,TM9 ,TM10,TM11,TM12,TM13,TM14,TM15,TM16,TM17,TM18,TM19,TM20,Stack,Rs-Check,Vab ,Pab ,Rab ,Latitude,Longitude,Name,Channel,Overload,Tx-Bat,Rx-Bat,Temp.,Date,Cole Tau,Cole M,Cole rms
,Mixed / non conventional,0.25,0.75,1.75,2.25,71.38,0.0,0.00,-4.5,-62.829,33.18,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,4,0.00,400,13,12.1,00.000000,00.000000,17062201,9,0,11.80,12.46,25.5,22/06/2017 09:57:27,0.0,0.00,0.0
,Mixed / non conventional,0.25,0.75,2.25,2.75,35.34,0.1,0.00,-15.5,-12.440,33.18,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,4,0.00,400,13,12.1,00.000000,00.000000,17062201,10,0,11.80,12.46,25.5,22/06/2017 09:57:27,0.0,0.00,0.0
,Mixed / non conventional,0.25,0.75,2.75,3.25,27.19,0.2,0.00,1.3,-4.897,33.95,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,6,0.00,400,14,11.8,00.000000,00.000000,17062201,1,0,11.80,12.48,25.5,22/06/2017 09:57:37,0.0,0.00,0.0
,Mixed / non conventional,0.25,0.75,3.25,3.75,16.05,0.2,0.00,-581.3,-1.652,33.95,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,6,0.00,400,14,11.8,00.000000,00.000000,17062201,2,0,11.80,12.48,25.5,22/06/2017 09:57:37,0.0,0.00,0.0
,Mixed / non conventional,0.50,1.00,1.25,1.75,347.76,0.1,0.00,23.9,-5275.393,44.68,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,6,0.00,400,18,9.0,00.000000,00.000000,17062201,1,0,11.71,12.32,21.6,22/06/2017 09:57:47,0.0,0.00,0.0
,Mixed / non conventional,0.50,1.00,1.75,2.25,133.38,0.0,0.00,-6.4,-289.042,44.68,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,6,0.00,400,18,9.0,00.000000,00.000000,17062201,2,0,11.71,12.32,21.6,22/06/2017 09:57:47,0.0,0.00,0.0
,Mixed / non conventional,0.50,1.00,2.25,2.75,50.61,0.1,0.00,-16.7,-36.560,44.68,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,6,0.00,400,18,9.0,00.000000,00.000000,17062201,3,0,11.71,12.32,21.6,22/06/2017 09:57:47,0.0,0.00,0.0
,Mixed / non conventional,0.50,1.00,2.75,3.25,33.64,0.0,0.00,1.8,-11.045,44.68,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,6,0.00,400,18,9.0,00.000000,00.000000,17062201,4,0,11.71,12.32,21.6,22/06/2017 09:57:47,0.0,0.00,0.0
,Mixed / non conventional,0.50,1.00,3.25,3.75,18.25,0.2,0.00,-581.2,-3.226,44.68,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,6,0.00,400,18,9.0,00.000000,00.000000,17062201,5,0,11.71,12.32,21.6,22/06/2017 09:57:47,0.0,0.00,0.0
,Mixed / non conventional,0.50,1.00,3.75,4.25,17.69,0.5,0.00,574.8,-1.877,44.68,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,6,0.00,400,18,9.0,00.000000,00.000000,17062201,6,0,11.71,12.32,21.6,22/06/2017 09:57:47,0.0,0.00,0.0
