644   (removed low and high geometric factor measurements, added 2% noise to R                                                   
78	3	15	3	13	3	9	3	11	1.468124816
79	2	9	2	7	2	3	2	5	1.277884832
80	1	23	1	21	1	17	1	19	1.331173107
81	1	9	1	7	1	3	1	5	1.347405916
82	1	19	1	17	1	13	1	15	1.274572296
83	2	16	2	14	2	10	2	12	1.330638334
84	3	12	3	10	3	6	3	8	1.48614803
85	1	15	1	13	1	9	1	11	1.348233332
86	2	12	2	10	2	6	2	8	1.810357147
87	1	12	1	10	1	6	1	8	1.457731269
88	2	13	2	11	2	7	2	9	1.838220276
89	2	11	2	9	2	5	2	7	1.725449261
90	1	16	1	14	1	10	1	12	1.354088277
91	2	17	2	15	2	11	2	13	1.24411173
92	3	7	3	5	3	1	3	3	1.296198311
93	1	13	1	11	1	7	1	9	1.399789555
94	3	18	3	16	3	12	3	14	1.302698169
95	1	21	1	19	1	15	1	17	1.286724647
96	2	21	2	19	2	15	2	17	1.316652961
97	2	8	2	6	2	2	2	4	1.311744554
98	2	15	2	13	2	9	2	11	1.485178746
99	1	17	1	15	1	11	1	13	1.305206774
100	3	14	3	12	3	8	3	10	1.402890288
101	3	13	3	11	3	7	3	9	1.416839126
102	3	22	3	20	3	16	3	18	1.394164306
103	3	25	3	23	3	19	3	21	1.285008865
104	2	18	2	16	2	12	2	14	1.270697518
105	1	18	1	16	1	12	1	14	1.379025095
106	3	20	3	18	3	14	3	16	1.369644176
107	3	23	3	21	3	17	3	19	1.384600825
108	3	8	3	6	3	2	3	4	1.216406547
109	3	9	3	7	3	3	3	5	1.275256318
110	1	10	1	8	1	4	1	6	1.349005205
111	3	24	3	22	3	18	3	20	1.343340647
112	2	19	2	17	2	13	2	15	1.320591727
113	1	8	1	6	1	2	1	4	1.289524788
114	1	14	1	12	1	8	1	10	1.416058252
115	1	11	1	9	1	5	1	7	1.427145754
116	2	24	2	22	2	18	2	20	1.252342872
117	3	10	3	8	3	4	3	6	1.388690089
118	2	22	2	20	2	16	2	18	1.272191021
119	3	11	3	9	3	5	3	7	1.439275216
120	2	23	2	21	2	17	2	19	1.302466417
121	1	25	1	23	1	19	1	21	1.363251854
122	3	17	3	15	3	11	3	13	1.290121835
123	3	21	3	19	3	15	3	17	1.376196785
124	2	20	2	18	2	14	2	16	1.30038825
125	2	25	2	23	2	19	2	21	1.307267599
126	2	7	2	5	2	1	2	3	1.358320354
127	2	25	2	23	2	18	2	20	0.582883535
128	3	10	3	8	3	3	3	5	0.596289701
129	1	15	1	13	1	8	1	10	0.647250592
130	1	23	1	21	1	16	1	18	0.586318634
131	3	24	3	22	3	17	3	19	0.619038708
132	1	21	1	19	1	14	1	16	0.601943886
133	3	14	3	12	3	7	3	9	0.661751879
134	2	18	2	16	2	11	2	13	0.587658138
135	3	18	3	16	3	11	3	13	0.604812333
136	3	9	3	7	3	2	3	4	0.601656632
137	1	19	1	17	1	12	1	14	0.588058015
138	2	9	2	7	2	2	2	4	0.59679139
139	1	14	1	12	1	7	1	9	0.665082088
140	1	17	1	15	1	10	1	12	0.604166389
141	2	15	2	13	2	8	2	10	0.792352677
142	3	17	3	15	3	10	3	12	0.603792848
143	2	20	2	18	2	13	2	15	0.606806548
144	3	23	3	21	3	16	3	18	0.596562352
145	2	17	2	15	2	10	2	12	0.601961758
146	1	10	1	8	1	3	1	5	0.623082006
147	1	24	1	22	1	17	1	19	0.611189435
148	1	22	1	20	1	15	1	17	0.58091392
149	1	18	1	16	1	11	1	13	0.630978896
150	2	24	2	22	2	17	2	19	0.595683576
151	3	15	3	13	3	8	3	10	0.668636635
152	2	11	2	9	2	4	2	6	0.760164084
153	1	12	1	10	1	5	1	7	0.655678458
154	2	19	2	17	2	12	2	14	0.605909963
155	1	11	1	9	1	4	1	6	0.611773255
156	2	12	2	10	2	5	2	7	0.792242023
157	1	25	1	23	1	18	1	20	0.610852724
158	1	16	1	14	1	9	1	11	0.609977884
159	2	21	2	19	2	14	2	16	0.591901428
160	3	12	3	10	3	5	3	7	0.653504367
161	2	16	2	14	2	9	2	11	0.72869235
162	2	8	2	6	2	1	2	3	0.594205593
163	3	22	3	20	3	15	3	17	0.629381079
164	3	21	3	19	3	14	3	16	0.607434954
165	2	23	2	21	2	16	2	18	0.592922389
166	3	20	3	18	3	13	3	15	0.592477694
167	2	10	2	8	2	3	2	5	0.641443136
168	1	9	1	7	1	2	1	4	0.591538397
169	2	14	2	12	2	7	2	9	0.744328301
170	2	13	2	11	2	6	2	8	0.63522313
171	1	13	1	11	1	6	1	8	0.667779591
172	3	11	3	9	3	4	3	6	0.646039427
173	3	13	3	11	3	6	3	8	0.674460973
174	3	8	3	6	3	1	3	3	0.587526115
175	1	20	1	18	1	13	1	15	0.580273027
176	3	19	3	17	3	12	3	14	0.617284794
177	3	25	3	23	3	18	3	20	0.593126562
178	3	16	3	14	3	9	3	11	0.615782022
179	1	8	1	6	1	1	1	3	0.604233465
180	2	22	2	20	2	15	2	17	0.580119177
181	3	21	3	19	2	15	2	17	0.31819315
182	3	9	3	7	2	3	2	5	0.326219173
183	2	20	2	18	1	14	1	16	0.326260636
184	2	19	2	17	1	13	1	15	0.313673325
185	2	25	2	23	1	19	1	21	0.335165326
186	3	18	3	16	2	12	2	14	0.327660538
187	2	21	2	19	1	15	1	17	0.34484596
188	2	11	2	9	1	5	1	7	0.425638441
