,El-array,Spa.1,Spa.2,Spa.3,Spa.4,Rho ,Dev., M  ,Sp  ,Vp  ,In  ,Time,Spa.5,Spa.6,Spa.7,Spa.8,Spa.9,Spa.10,Spa.11,Spa.12,M1  ,M2  ,M3  ,M4  ,M5  ,M6  ,M7  ,M8  ,M9  ,M10  ,M11 ,M12 ,M13 ,M14 ,M15 ,M16 ,M17 ,M18 ,M19 ,M20 ,Mdly,TM1 ,TM2 ,TM3 ,TM4 ,TM5 ,TM6 ,TM7 ,TM8 ,TM9 ,TM10,TM11,TM12,TM13,TM14,TM15,TM16,TM17,TM18,TM19,TM20,Stack,Rs-Check,Vab ,Pab ,Rab ,Latitude,Longitude,Name,Channel,Overload,Tx-Bat,Rx-Bat,Temp.,Date,Cole Tau,Cole M,Cole rms
,Mixed / non conventional,1.00,1.50,2.00,2.50,600.20,0.0,8.26,2.5,-729.958,11.46,4000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.06,14.69,12.97,11.66,10.61,9.74,8.98,8.34,7.84,7.36,6.93,6.59,6.18,5.91,5.62,5.37,5.14,4.95,4.73,4.56,480,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,1,0.00,49,1,4.3,00.000000,00.000000,18102305,1,0,12.75,12.23,18.7,23/10/2018 16:02:54,0.0,0.00,0.0
,Mixed / non conventional,1.00,1.50,2.50,3.00,741.17,0.0,10.93,-90.6,-225.354,11.46,4000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.20,20.06,17.66,15.84,14.23,13.01,11.95,11.09,10.28,9.57,9.05,8.47,8.03,7.57,7.18,6.82,6.56,6.25,5.98,5.75,480,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,1,0.00,49,1,4.3,00.000000,00.000000,18102305,2,0,12.75,12.23,18.7,23/10/2018 16:02:54,0.0,0.00,0.0
,Mixed / non conventional,1.00,1.50,3.00,3.50,1015.73,0.0,12.33,-1.5,-123.534,11.46,4000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,24.95,21.72,19.25,17.42,15.97,14.62,13.50,12.69,11.77,11.12,10.43,9.82,9.39,8.85,8.52,8.04,7.75,7.19,7.04,6.62,480,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,1,0.00,49,1,4.3,00.000000,00.000000,18102305,3,0,12.75,12.23,18.7,23/10/2018 16:02:54,0.0,0.00,0.0
,Mixed / non conventional,1.00,1.50,3.50,4.00,1098.13,0.0,9.78,70.3,-66.777,11.46,4000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,19.98,17.33,15.33,13.94,12.73,11.53,11.06,9.92,9.21,8.46,8.32,7.73,7.30,6.96,6.59,6.57,6.08,5.77,5.66,5.20,480,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,1,0.00,49,1,4.3,00.000000,00.000000,18102305,4,0,12.75,12.23,18.7,23/10/2018 16:02:54,0.0,0.00,0.0
,Mixed / non conventional,1.00,1.50,4.00,4.50,1069.28,0.0,10.60,7.5,-37.156,11.46,4000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.44,18.66,16.92,15.46,13.65,12.97,11.80,10.71,9.72,8.80,9.20,8.03,7.85,7.44,7.22,7.22,6.82,6.56,6.02,5.45,480,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,1,0.00,49,1,4.3,00.000000,00.000000,18102305,5,0,12.75,12.23,18.7,23/10/2018 16:02:54,0.0,0.00,0.0
,Mixed / non conventional,1.00,1.50,4.50,5.00,967.78,0.0,9.13,12.9,-21.018,11.46,4000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.44,17.86,14.62,13.62,12.00,10.81,9.14,10.34,9.12,8.65,6.91,6.39,6.08,6.14,6.31,4.39,5.44,5.01,5.39,3.99,480,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,1,0.00,49,1,4.3,00.000000,00.000000,18102305,6,0,12.75,12.23,18.7,23/10/2018 16:02:54,0.0,0.00,0.0
,Mixed / non conventional,1.00,1.50,5.00,5.50,1387.81,0.0,10.51,-24.7,-20.094,11.46,4000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.79,18.17,14.58,14.13,13.06,11.95,11.84,11.30,9.76,9.58,10.01,8.29,8.25,8.27,8.40,7.53,6.26,7.20,7.18,5.68,480,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,1,0.00,49,1,4.3,00.000000,00.000000,18102305,7,0,12.75,12.23,18.7,23/10/2018 16:02:54,0.0,0.00,0.0
,Mixed / non conventional,1.00,1.50,5.50,6.00,913.46,0.0,7.29,-3.3,-9.258,11.46,4000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.01,14.32,11.66,12.14,11.22,9.87,7.98,7.26,6.82,4.40,4.69,5.47,7.84,5.27,5.37,3.97,3.05,3.14,5.08,0.24,480,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,1,0.00,49,1,4.3,00.000000,00.000000,18102305,8,0,12.75,12.23,18.7,23/10/2018 16:02:54,0.0,0.00,0.0
,Mixed / non conventional,1.00,1.50,6.00,6.50,1061.43,0.0,12.31,43.4,-7.824,11.46,4000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.35,22.78,19.12,19.75,16.08,14.71,11.85,14.42,9.33,10.87,11.10,11.22,8.07,8.24,11.50,7.10,7.50,7.73,8.47,4.98,480,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,1,0.00,49,1,4.3,00.000000,00.000000,18102305,9,0,12.75,12.23,18.7,23/10/2018 16:02:54,0.0,0.00,0.0
,Mixed / non conventional,1.00,1.50,6.50,7.00,922.57,0.0,12.33,7.3,-5.100,11.46,4000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,21.33,17.03,19.14,13.96,14.48,13.52,20.80,11.41,13.61,14.48,11.41,6.41,7.90,10.62,9.30,11.15,9.92,7.02,10.88,2.19,480,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,160,1,0.00,49,1,4.3,00.000000,00.000000,18102305,10,0,12.75,12.23,18.7,23/10/2018 16:02:54,0.0,0.00,0.0
