    P+   P-        C+   C-  Normalised_Error  Observed_Rho  Calculated_Rho  Original_Weight  Final_Weight    C
   11   13        24   15       -0.23468         43.532         43.327         0.49855E+02    0.49855E+02    0
   11   13        15   17       -0.40936         41.988         41.643         0.49688E+02    0.49688E+02    0
   11   13        17   19       -0.61470         44.828         44.234         0.46091E+02    0.46091E+02    0
   11   13        19   21       -0.51786         49.426         48.724         0.36188E+02    0.36188E+02    0
   11   13        21   23       -0.26795         60.408         59.811         0.26981E+02    0.26981E+02    0
   12   14        15   17       -2.02645         50.380         48.378         0.49979E+02    0.49979E+02    0
   12   14        17   19       -1.03446         46.503         45.528         0.48815E+02    0.48815E+02    0
   12   14        19   21       -0.80246         51.107         50.157         0.42778E+02    0.42778E+02    0
   12   14        21   23       -0.86850         64.156         62.552         0.34303E+02    0.34303E+02    0
   12   14        23   16       -0.91492         52.029         51.083         0.49892E+02    0.49892E+02    0
   12   14        16   18       -0.92760         50.979         50.038         0.49788E+02    0.49788E+02    0
   12   14        18   20       -0.50703         53.502         52.930         0.47159E+02    0.47159E+02    0
   12   14        20   22       -0.90774         55.012         53.713         0.37973E+02    0.37973E+02    0
   12   14        22   24       -0.30081         58.352         57.689         0.26320E+02    0.26320E+02    0
   13   15        16   18       -0.75978         59.627         58.728         0.49985E+02    0.49985E+02    0
   13   15        18   20        0.87882         50.976         51.898         0.49008E+02    0.49008E+02    0
   13   15        20   22       -0.46384         53.158         52.590         0.43218E+02    0.43218E+02    0
   13   15        22   24       -0.42226         58.186         57.434         0.32498E+02    0.32498E+02    0
   13   15        24   17       -0.36326         47.799         47.452         0.49873E+02    0.49873E+02    0
   13   15        17   19       -0.30500         45.861         45.581         0.49738E+02    0.49738E+02    0
   13   15        19   21        0.10737         48.570         48.682         0.46613E+02    0.46613E+02    0
   13   15        21   23       -0.72880         63.109         61.972         0.40063E+02    0.40063E+02    0
   14   16        17   19       -1.58419         43.643         42.281         0.49972E+02    0.49972E+02    0
   14   16        19   21       -0.07927         42.490         42.421         0.48590E+02    0.48590E+02    0
   14   16        21   23       -1.10953         56.985         55.564         0.43946E+02    0.43946E+02    0
   14   16        23   18       -0.57549         47.439         46.894         0.49857E+02    0.49857E+02    0
   14   16        18   20       -0.16750         46.667         46.511         0.49747E+02    0.49747E+02    0
   14   16        20   22       -0.69501         47.053         46.353         0.46414E+02    0.46414E+02    0
   14   16        22   24       -0.94701         53.215         51.886         0.37433E+02    0.37433E+02    0
   15   17        18   20       -1.64222         61.684         59.690         0.49986E+02    0.49986E+02    0
   15   17        20   22        0.08192         49.450         49.533         0.48948E+02    0.48948E+02    0
   15   17        22   24       -0.85413         56.937         55.841         0.43937E+02    0.43937E+02    0
   15   17        24   19       -0.00897         49.067         49.058         0.49866E+02    0.49866E+02    0
   15   17        19   21        0.13027         46.195         46.316         0.49742E+02    0.49742E+02    0
   15   17        21   23       -0.63374         60.653         59.854         0.47747E+02    0.47747E+02    0
   16   18        19   21       -0.39587         39.025         38.717         0.49964E+02    0.49964E+02    0
   16   18        21   23       -0.66399         54.864         54.128         0.49140E+02    0.49140E+02    0
   16   18        23   20       -0.85684         45.284         44.511         0.49799E+02    0.49799E+02    0
   16   18        20   22       -0.18250         43.094         42.936         0.49704E+02    0.49704E+02    0
   16   18        22   24       -1.03462         52.522         51.380         0.47061E+02    0.47061E+02    0
   17   19        20   22       -1.14417         45.568         44.537         0.49974E+02    0.49974E+02    0
   17   19        22   24       -1.41682         55.518         53.941         0.49160E+02    0.49160E+02    0
   17   19        24   21       -0.99766         57.258         56.124         0.49874E+02    0.49874E+02    0
   17   19        21   23       -1.15868         58.759         57.409         0.49840E+02    0.49840E+02    0
   18   20        21   23       -1.67720         63.857         61.750         0.49987E+02    0.49987E+02    0
   18   20        23   22       -1.04312         62.535         61.236         0.49713E+02    0.49713E+02    0
   18   20        22   24        0.26065         58.126         58.430         0.49836E+02    0.49836E+02    0
   19   21        22   24       -0.24431         47.456         47.224         0.49976E+02    0.49976E+02    0
    5    7         3    2       -1.00148         44.211         43.325         0.49430E+02    0.49430E+02    0
    6    8         5    2       -0.61163         45.718         45.162         0.49978E+02    0.49978E+02    0
    7    9         5    2        0.19601         48.895         49.088         0.49827E+02    0.49827E+02    0
    8   10         7    2       -1.28284         53.743         52.381         0.49986E+02    0.49986E+02    0
    9   11         7    2       -0.58012         56.522         55.868         0.49899E+02    0.49899E+02    0
   10   12         9    2       -0.46179         50.163         49.702         0.49985E+02    0.49985E+02    0
   11   13         9    2       -0.79776         52.462         51.630         0.49894E+02    0.49894E+02    0
   12   14        11    2       -1.04476         46.082         45.129         0.49983E+02    0.49983E+02    0
   13   15        11    2       -1.00391         46.554         45.626         0.49873E+02    0.49873E+02    0
   14   16        13    2       -1.00137         42.046         41.212         0.49980E+02    0.49980E+02    0
   15   17        14    3       -1.60158         49.743         48.174         0.49985E+02    0.49985E+02    0
   16   18        15    4       -0.62671         57.629         56.911         0.49989E+02    0.49989E+02    0
   17   19        16    5       -1.32774         44.401         43.237         0.49982E+02    0.49982E+02    0
   18   20        17    6       -0.57799         59.128         58.449         0.49990E+02    0.49990E+02    0
   19   21        18    7       -0.22581         40.179         39.998         0.49978E+02    0.49978E+02    0
   20   22        19    8       -0.71325         46.323         45.667         0.49983E+02    0.49983E+02    0
   21   23        20    9       -1.19027         62.064         60.604         0.49991E+02    0.49991E+02    0
   22   24        21   10       -0.46258         49.060         48.608         0.49985E+02    0.49985E+02    0
