332
168	1 36	1 37	1 41	1 42	-13.888217092545814
169	1 37	1 38	1 42	1 43	-1.419656073808033
170	1 38	1 39	1 43	1 44	-2.290495204128918
171	1 39	1 40	1 44	1 45	-1.8475196125463627
172	1 40	1 41	1 45	1 46	-1.9442139574000024
173	1 41	1 42	1 46	1 47	-2.0931797067194617
174	1 42	1 43	1 47	1 48	-2.269598388522735
175	1 1	1 2	1 7	1 8	-0.37206290489453997
176	1 2	1 3	1 8	1 9	-0.5850602858186515
177	1 3	1 4	1 9	1 10	-0.8306160181836331
178	1 4	1 5	1 10	1 11	-0.9099594012685126
179	1 5	1 6	1 11	1 12	-0.6800577809809109
180	1 6	1 7	1 12	1 13	-5.11687732487947
181	1 7	1 8	1 13	1 14	0.005081583899097145
182	1 8	1 9	1 14	1 15	0.01611716570940689
183	1 9	1 10	1 15	1 16	0.011278728050050278
184	1 10	1 11	1 16	1 17	0.018005422199413094
185	1 11	1 12	1 17	1 18	0.02654523547672364
186	1 12	1 13	1 18	1 19	-12.965179194791729
187	1 13	1 14	1 19	1 20	-0.5990909606426832
188	1 14	1 15	1 20	1 21	-1.0467771772036791
189	1 15	1 16	1 21	1 22	-1.5880467862566496
190	1 16	1 17	1 22	1 23	-1.6445289949252113
191	1 17	1 18	1 23	1 24	-1.4110822182676417
192	1 18	1 19	1 24	1 25	-7.662780323113887
193	1 19	1 20	1 25	1 26	0.035192352891009394
194	1 20	1 21	1 26	1 27	0.04378751385851493
195	1 21	1 22	1 27	1 28	-0.006743762959709022
196	1 22	1 23	1 28	1 29	-0.058027428662800466
197	1 23	1 24	1 29	1 30	-0.01206940453271669
198	1 24	1 25	1 30	1 31	-8.984746263279831
199	1 25	1 26	1 31	1 32	-0.4981464044084464
200	1 26	1 27	1 32	1 33	-0.4186101422502745
201	1 27	1 28	1 33	1 34	-0.7857931887039104
202	1 28	1 29	1 34	1 35	-1.2756718566535439
203	1 29	1 30	1 35	1 36	-0.555488255422012
204	1 30	1 31	1 36	1 37	-6.0796993839939635
205	1 31	1 32	1 37	1 38	0.01981637775714067
206	1 32	1 33	1 38	1 39	0.00698891991034796
207	1 33	1 34	1 39	1 40	-0.04034248842249451
208	1 34	1 35	1 40	1 41	0.005406171455567477
209	1 35	1 36	1 41	1 42	0.010776659389202966
210	1 36	1 37	1 42	1 43	-11.156424821844507
211	1 37	1 38	1 43	1 44	-0.5244305884476783
212	1 38	1 39	1 44	1 45	-0.7961933571847132
213	1 39	1 40	1 45	1 46	-1.0575036619129272
214	1 40	1 41	1 46	1 47	-1.193605018721785
215	1 41	1 42	1 47	1 48	-0.9349912787863645
216	1 1	1 2	1 8	1 9	-0.14873191276081035
217	1 2	1 3	1 9	1 10	-0.38957093741687165
218	1 3	1 4	1 10	1 11	-0.6408833756640071
219	1 4	1 5	1 11	1 12	-0.4595997510741706
220	1 5	1 6	1 12	1 13	-2.214624629436006
221	1 6	1 7	1 13	1 14	0.010318717863419147
222	1 7	1 8	1 14	1 15	0.034717362038290345
223	1 8	1 9	1 15	1 16	0.036604227438296284
224	1 9	1 10	1 16	1 17	0.03604042428125217
225	1 10	1 11	1 17	1 18	0.04144246431644228
226	1 11	1 12	1 18	1 19	0.07725328270883111
227	1 12	1 13	1 19	1 20	-8.571393821555448
228	1 13	1 14	1 20	1 21	-0.2241790693194324
229	1 14	1 15	1 21	1 22	-0.6749549613813957
230	1 15	1 16	1 22	1 23	-1.0719711778637513
231	1 16	1 17	1 23	1 24	-0.8711433182959576
232	1 17	1 18	1 24	1 25	-4.636358033870698
233	1 18	1 19	1 25	1 26	0.09079691650485128
234	1 19	1 20	1 26	1 27	0.11050984142303749
235	1 20	1 21	1 27	1 28	0.05682092001258327
236	1 21	1 22	1 28	1 29	-0.003969391733573726
237	1 22	1 23	1 29	1 30	0.02849105879231415
238	1 23	1 24	1 30	1 31	0.08346015703181196
239	1 24	1 25	1 31	1 32	-7.620618070437087
240	1 25	1 26	1 32	1 33	-0.1415755576272749
241	1 26	1 27	1 33	1 34	-0.46059277099094836
242	1 27	1 28	1 34	1 35	-0.6308627149386363
243	1 28	1 29	1 35	1 36	-0.6522100672051147
244	1 29	1 30	1 36	1 37	-1.7533794982773423
245	1 30	1 31	1 37	1 38	0.011669043323608566
246	1 31	1 32	1 38	1 39	0.06757969261583073
247	1 32	1 33	1 39	1 40	0.03127760684307986
248	1 33	1 34	1 40	1 41	-0.002478377634558797
249	1 34	1 35	1 41	1 42	0.02192991366631814
250	1 35	1 36	1 42	1 43	0.06865208118974743
251	1 36	1 37	1 43	1 44	-6.8192493251091815
252	1 37	1 38	1 44	1 45	-0.20706359570462438
253	1 38	1 39	1 45	1 46	-0.4961505213178482
254	1 39	1 40	1 46	1 47	-0.7476272112171991
255	1 40	1 41	1 47	1 48	-0.5669298488859119
256	1 1	1 2	1 9	1 10	-0.10829352920421773
257	1 2	1 3	1 10	1 11	-0.3243513373204849
258	1 3	1 4	1 11	1 12	-0.3562096380596888
259	1 4	1 5	1 12	1 13	-1.8211821930922296
260	1 5	1 6	1 13	1 14	0.014688131966050998
261	1 6	1 7	1 14	1 15	0.05851786603179839
262	1 7	1 8	1 15	1 16	0.07130110265242506
263	1 8	1 9	1 16	1 17	0.05407983864854482
264	1 9	1 10	1 17	1 18	0.05757388347283314
265	1 10	1 11	1 18	1 19	0.11520834363714393
266	1 11	1 12	1 19	1 20	0.14358030698330831
267	1 12	1 13	1 20	1 21	-4.777929407798772
268	1 13	1 14	1 21	1 22	-0.14435316348613259
269	1 14	1 15	1 22	1 23	-0.4932770464776296
270	1 15	1 16	1 23	1 24	-0.606753609651437
271	1 16	1 17	1 24	1 25	-3.6653811990444503
272	1 17	1 18	1 25	1 26	0.11184718984037594
273	1 18	1 19	1 26	1 27	0.2652320304885943
274	1 19	1 20	1 27	1 28	0.13172444481085543
275	1 20	1 21	1 28	1 29	0.09649961199256808
276	1 21	1 22	1 29	1 30	0.059741940079528995
277	1 22	1 23	1 30	1 31	0.1924064906751367
278	1 23	1 24	1 31	1 32	0.035812771057107395
279	1 24	1 25	1 32	1 33	-2.9967413070266247
280	1 25	1 26	1 33	1 34	-0.16698391999158563
281	1 26	1 27	1 34	1 35	-0.40189765333883143
282	1 27	1 28	1 35	1 36	-0.35015230987524776
283	1 28	1 29	1 36	1 37	-1.3585075390492383
284	1 29	1 30	1 37	1 38	0.017484840792011763
285	1 30	1 31	1 38	1 39	0.04415500844584167
286	1 31	1 32	1 39	1 40	0.11930238569576915
287	1 32	1 33	1 40	1 41	0.04700607613886072
288	1 33	1 34	1 41	1 42	0.012782590617781229
289	1 34	1 35	1 42	1 43	0.1066147006071601
290	1 35	1 36	1 43	1 44	0.1256695840074946
291	1 36	1 37	1 44	1 45	-3.638106350809805
292	1 37	1 38	1 45	1 46	-0.13329608645283597
293	1 38	1 39	1 46	1 47	-0.38567790959832843
294	1 39	1 40	1 47	1 48	-0.384982352295636
295	1 1	1 2	1 10	1 11	-0.09937451986629553
296	1 2	1 3	1 11	1 12	-0.19200232677715934
297	1 3	1 4	1 12	1 13	-1.255889393241409
298	1 4	1 5	1 13	1 14	0.015051803350832503
299	1 5	1 6	1 14	1 15	0.07155732669867154
300	1 6	1 7	1 15	1 16	0.10747357832006099
301	1 7	1 8	1 16	1 17	0.09907710292033149
302	1 8	1 9	1 17	1 18	0.07776953852935906
303	1 9	1 10	1 18	1 19	0.11554726431413569
304	1 10	1 11	1 19	1 20	0.21158163285971984
305	1 11	1 12	1 20	1 21	0.14868854634225642
306	1 12	1 13	1 21	1 22	-3.7713770076749746
307	1 13	1 14	1 22	1 23	-0.11284848504309411
308	1 14	1 15	1 23	1 24	-0.2829580315233308
309	1 15	1 16	1 24	1 25	-3.7180293481789026
310	1 16	1 17	1 25	1 26	0.14094219771393054
311	1 17	1 18	1 26	1 27	0.3289449456059159
312	1 18	1 19	1 27	1 28	0.3182912716529361
313	1 19	1 20	1 28	1 29	0.21275739595808335
314	1 20	1 21	1 29	1 30	0.12298841854880847
315	1 21	1 22	1 30	1 31	0.25598367941186967
316	1 22	1 23	1 31	1 32	0.21275771010484626
317	1 23	1 24	1 32	1 33	0.10202472602224903
318	1 24	1 25	1 33	1 34	-3.913625891445646
319	1 25	1 26	1 34	1 35	-0.138428782146203
320	1 26	1 27	1 35	1 36	-0.21985419363974612
321	1 27	1 28	1 36	1 37	-0.8566138270072432
322	1 28	1 29	1 37	1 38	0.043641100110372213
323	1 29	1 30	1 38	1 39	0.05904764369800329
324	1 30	1 31	1 39	1 40	0.10416078517721739
325	1 31	1 32	1 40	1 41	0.13029852430697547
326	1 32	1 33	1 41	1 42	0.0677161749575301
327	1 33	1 34	1 42	1 43	0.09425523243372495
328	1 34	1 35	1 43	1 44	0.18698203181408996
329	1 35	1 36	1 44	1 45	0.1712632542138358
330	1 36	1 37	1 45	1 46	-2.9754365076073928
331	1 37	1 38	1 46	1 47	-0.10573953195450436
332	1 38	1 39	1 47	1 48	-0.2069500334342959
