,El-array,Spa.1,Spa.2,Spa.3,Spa.4,Rho ,Dev., M  ,Sp  ,Vp  ,In  ,Time,Spa.5,Spa.6,Spa.7,Spa.8,Spa.9,Spa.10,Spa.11,Spa.12,M1  ,M2  ,M3  ,M4  ,M5  ,M6  ,M7  ,M8  ,M9  ,M10  ,M11 ,M12 ,M13 ,M14 ,M15 ,M16 ,M17 ,M18 ,M19 ,M20 ,Mdly,TM1 ,TM2 ,TM3 ,TM4 ,TM5 ,TM6 ,TM7 ,TM8 ,TM9 ,TM10,TM11,TM12,TM13,TM14,TM15,TM16,TM17,TM18,TM19,TM20,Stack,Rs-Check,Vab ,Pab ,Rab ,Latitude,Longitude,Name,Channel,Overload,Tx-Bat,Rx-Bat,Temp.,Date,Gapfiller,Synch,Cole Tau,Cole M,Cole rms
,Mixed / non conventional,0.25,0.75,1.75,2.25,46.03,0.04,0.00,-5.16,-154.915,126.877,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,6,0.00,165,21,1.3,00.000000,00.000000,17051601,9,0,11.62,12.30,21.1,16/05/2017 09:33:51,0,0,0.0,0.00,0.0
,Mixed / non conventional,0.25,0.75,2.25,2.75,54.54,0.05,0.00,20.02,-73.426,126.877,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,6,0.00,165,21,1.3,00.000000,00.000000,17051601,10,0,11.62,12.30,21.1,16/05/2017 09:33:51,0,0,0.0,0.00,0.0
,Mixed / non conventional,0.25,0.75,2.75,3.25,54.70,0.06,0.00,9.47,-28.579,98.493,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,6,0.00,129,13,1.3,00.000000,00.000000,17051601,1,0,11.74,12.30,21.1,16/05/2017 09:34:01,0,0,0.0,0.00,0.0
,Mixed / non conventional,0.25,0.75,3.25,3.75,53.02,0.05,0.00,6.64,-15.831,98.493,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,6,0.00,129,13,1.3,00.000000,00.000000,17051601,2,0,11.74,12.30,21.1,16/05/2017 09:34:01,0,1,0.0,0.00,0.0
,Mixed / non conventional,0.50,1.00,1.25,1.75,62.27,0.05,0.00,18.05,-2346.850,110.999,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,5,0.00,117,13,1.1,00.000000,00.000000,17051601,1,0,11.77,12.30,21.1,16/05/2017 09:34:09,0,0,0.0,0.00,0.0
,Mixed / non conventional,0.50,1.00,1.75,2.25,53.38,0.04,0.00,-2.78,-287.400,110.999,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,5,0.00,117,13,1.1,00.000000,00.000000,17051601,2,0,11.77,12.30,21.1,16/05/2017 09:34:09,0,0,0.0,0.00,0.0
,Mixed / non conventional,0.50,1.00,2.25,2.75,70.56,0.04,0.00,21.08,-126.622,110.999,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,5,0.00,117,13,1.1,00.000000,00.000000,17051601,3,0,11.77,12.30,21.1,16/05/2017 09:34:09,0,0,0.0,0.00,0.0
,Mixed / non conventional,0.50,1.00,2.75,3.25,72.52,0.00,0.00,10.07,-59.161,110.999,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,5,0.00,117,13,1.1,00.000000,00.000000,17051601,4,0,11.77,12.30,21.1,16/05/2017 09:34:09,0,0,0.0,0.00,0.0
,Mixed / non conventional,0.50,1.00,3.25,3.75,73.68,0.03,0.00,7.27,-32.365,110.999,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,5,0.00,117,13,1.1,00.000000,00.000000,17051601,5,0,11.77,12.30,21.1,16/05/2017 09:34:09,0,0,0.0,0.00,0.0
,Mixed / non conventional,0.50,1.00,3.75,4.25,61.25,0.00,0.00,-41.74,-16.143,110.999,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,5,0.00,117,13,1.1,00.000000,00.000000,17051601,6,0,11.77,12.30,21.1,16/05/2017 09:34:09,0,1,0.0,0.00,0.0
