,El-array,Spa.1,Spa.2,Spa.3,Spa.4,Rho ,Dev., M  ,Sp  ,Vp  ,In  ,Time,Spa.5,Spa.6,Spa.7,Spa.8,Spa.9,Spa.10,Spa.11,Spa.12,M1  ,M2  ,M3  ,M4  ,M5  ,M6  ,M7  ,M8  ,M9  ,M10  ,M11 ,M12 ,M13 ,M14 ,M15 ,M16 ,M17 ,M18 ,M19 ,M20 ,Mdly,TM1 ,TM2 ,TM3 ,TM4 ,TM5 ,TM6 ,TM7 ,TM8 ,TM9 ,TM10,TM11,TM12,TM13,TM14,TM15,TM16,TM17,TM18,TM19,TM20,Stack,Rs-Check,Vab ,Pab ,Rab ,Latitude,Longitude,Name,Channel,Overload,Tx-Bat,Rx-Bat,Temp.,Date,Cole Tau,Cole M,Cole rms
,Mixed / non conventional,0.25,0.75,1.75,2.25,54.13,0.0,2.51,32.4,-130.928,91.18,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.89,4.34,3.90,3.53,3.21,3.05,2.75,2.61,2.47,2.23,2.14,2.07,1.92,1.83,1.68,1.64,1.57,1.50,1.47,1.45,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,6,0.00,102,9,1.1,00.000000,00.000000,17042716,9,0,11.50,11.98,13.3,27/04/2017 14:56:03,0.0,0.00,0.0
,Mixed / non conventional,0.25,0.75,2.25,2.75,62.06,0.1,1.92,-76.4,-60.043,91.18,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.59,2.42,2.47,2.51,2.36,2.48,2.18,2.07,2.11,1.69,1.73,1.69,1.68,1.92,1.57,1.40,1.37,1.29,1.44,1.46,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,6,0.00,102,9,1.1,00.000000,00.000000,17042716,10,0,11.50,11.98,13.3,27/04/2017 14:56:03,0.0,0.00,0.0
,Mixed / non conventional,0.25,0.75,2.75,3.25,59.90,0.3,10.54,0.4,-16.346,51.43,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.82,18.23,15.97,14.01,13.28,12.20,10.82,10.44,9.86,9.51,9.26,8.41,8.22,7.89,7.55,7.29,7.07,6.88,6.74,6.27,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,6,0.00,58,3,1.1,00.000000,00.000000,17042716,1,0,11.65,12.01,13.3,27/04/2017 14:56:22,0.0,0.00,0.0
,Mixed / non conventional,0.25,0.75,3.25,3.75,97.80,0.1,3.11,65.5,-15.250,51.43,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.88,5.28,4.27,4.07,4.59,3.72,3.49,2.93,2.84,2.77,3.30,2.65,2.21,2.87,2.02,2.63,1.84,1.35,1.74,1.82,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,6,0.00,58,3,1.1,00.000000,00.000000,17042716,2,0,11.65,12.01,13.3,27/04/2017 14:56:22,0.0,0.00,0.0
,Mixed / non conventional,0.50,1.00,1.25,1.75,39.47,0.0,1.54,24.5,-1759.253,131.26,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.91,2.57,2.32,2.12,1.96,1.81,1.69,1.59,1.49,1.41,1.33,1.27,1.21,1.15,1.10,1.06,1.01,0.97,0.94,0.90,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,6,0.00,133,17,1.0,00.000000,00.000000,17042716,1,0,11.32,11.98,13.3,27/04/2017 14:56:41,0.0,0.00,0.0
,Mixed / non conventional,0.50,1.00,1.75,2.25,42.22,0.0,2.68,33.1,-268.821,131.26,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.91,4.40,4.02,3.69,3.41,3.17,2.94,2.79,2.62,2.45,2.36,2.21,2.13,2.03,1.93,1.85,1.75,1.71,1.63,1.55,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,6,0.00,133,17,1.0,00.000000,00.000000,17042716,2,0,11.32,11.98,13.3,27/04/2017 14:56:41,0.0,0.00,0.0
,Mixed / non conventional,0.50,1.00,2.25,2.75,50.53,0.1,2.35,-76.0,-107.250,131.26,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.77,4.14,3.72,3.33,3.01,2.78,2.66,2.42,2.26,2.07,1.95,1.86,1.78,1.66,1.64,1.53,1.42,1.44,1.29,1.27,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,6,0.00,133,17,1.0,00.000000,00.000000,17042716,3,0,11.32,11.98,13.3,27/04/2017 14:56:41,0.0,0.00,0.0
,Mixed / non conventional,0.50,1.00,2.75,3.25,51.64,0.3,8.55,0.8,-49.811,131.26,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.92,13.33,12.03,11.40,10.71,9.95,9.25,8.86,8.30,7.83,7.62,7.30,7.15,6.35,6.44,6.32,6.11,5.83,5.73,5.48,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,6,0.00,133,17,1.0,00.000000,00.000000,17042716,4,0,11.32,11.98,13.3,27/04/2017 14:56:41,0.0,0.00,0.0
,Mixed / non conventional,0.50,1.00,3.25,3.75,87.02,0.0,1.50,65.5,-45.200,131.26,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.21,2.15,1.99,1.92,1.97,1.73,1.78,1.71,1.54,1.39,1.38,1.24,1.24,1.36,1.04,1.04,1.03,1.13,1.15,0.98,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,6,0.00,133,17,1.0,00.000000,00.000000,17042716,5,0,11.32,11.98,13.3,27/04/2017 14:56:41,0.0,0.00,0.0
,Mixed / non conventional,0.50,1.00,3.75,4.25,50.61,0.2,3.34,37.8,-15.772,131.26,1000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.16,5.77,5.03,4.91,4.60,4.30,3.19,3.39,3.36,2.61,2.81,2.65,2.69,2.61,2.71,1.92,1.93,1.81,1.57,1.72,120,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,6,0.00,133,17,1.0,00.000000,00.000000,17042716,6,0,11.32,11.98,13.3,27/04/2017 14:56:41,0.0,0.00,0.0
