El-array,Spa.1,Spa.2,Spa.3,Spa.4,Rho,Dev.,M,Sp,Vp,In,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,TM1
Mixed / non conventional,15,16,22,23,63.11,0.79,1.04,-2.82,-11.955,199.962,10.36,-2.46,4.8,0.79,-0.95,-1.6,6.54,2.12,-0.76,2.05,1.36,-4.39,-0.34,4.34,-4.09,-6.35,-5.79,6.75,4.84,3.53,40
Mixed / non conventional,15,17,23,2,-905.5,0,-299.99,1746.01,925.587,123.693,-1890,-1593,-1343.01,-1137.61,-967.37,-824.35,-706.1,-605.92,-522.55,-452.11,-393.58,-344.68,-302.2,-266.98,-236.35,-210.56,-188.54,-169.76,-153.49,-139.66,40
Mixed / non conventional,15,17,2,3,-7617.17,0,-299.99,392.29,247.178,123.693,-676.93,-594.17,-528.37,-477.29,-438.87,-409.62,-385.35,-366.42,-350.19,-336.55,-324.64,-313.13,-303.26,-293.46,-283.57,-274.44,-265.51,-256.76,-248.62,-241.18,40
Mixed / non conventional,15,17,3,4,-5050.53,20.5,-279.49,331.71,206.932,123.693,-461.32,-421.07,-389.71,-366.66,-350.47,-339.44,-331.17,-324.27,-318.55,-313.9,-308.76,-303.77,-298.32,-292.85,-286.34,-280.51,-274.08,-267.27,-260.56,-253.51,40
Mixed / non conventional,15,17,4,5,-3346.44,56.93,-213.45,289.43,176.599,123.693,21.44,-24.42,-71.5,-114.04,-152.44,-184.51,-211.6,-232.84,-249.13,-261.58,-271.56,-278.27,-282.07,-284.08,-283.95,-283.64,-282.12,-278.79,-274.29,-269.69,40
Mixed / non conventional,15,17,5,6,-1970.46,59.5,-95.01,230.15,137.14,123.693,604.4,428.98,279.23,155.88,57.48,-23.09,-86.76,-138.08,-178.95,-211.75,-235.97,-254.03,-269.14,-279.67,-287.26,-291.68,-293.99,-294.51,-292.65,-288.67,40
Mixed / non conventional,15,17,6,7,-1059.99,59.68,105.44,179.74,100.122,123.693,1546.09,1159.4,840.98,588.81,388.98,231.83,109.03,12.84,-62.76,-121.76,-169.09,-205,-233.72,-254.82,-268.99,-279.93,-287.68,-292.88,-295.79,-296.65,40
Mixed / non conventional,15,17,7,8,-605.55,64.91,263.87,157.27,80.42,123.693,2416.89,1798.76,1315.43,945,658.46,433.12,258.81,123.42,15.54,-69.17,-133.32,-183.52,-222.8,-253.06,-277.68,-293.34,-305.35,-312.97,-317.69,-319.22,40
Mixed / non conventional,15,17,8,9,-255.4,56.49,526.96,105.49,49.879,123.693,4037.42,2921,2111.97,1519.87,1071.43,729.7,467.92,268.37,116.22,-0.24,-93.3,-161.07,-215.4,-256.64,-285.61,-310.86,-328.08,-343.19,-351.63,-358.61,40
Mixed / non conventional,15,18,16,17,33.5,5.09,2.94,81.21,370.65,69.527,5.06,4.54,3.96,3.54,3.22,3.33,3.01,2.81,2.86,2.94,2.93,2.63,2.53,2.4,2.23,2.48,2.5,1.81,2.29,1.79,40
Mixed / non conventional,15,18,17,19,39.29,18.62,-10.64,-70.98,108.701,69.527,-17.02,-16.09,-14.13,-13.33,-11.94,-11.73,-11.3,-10.49,-9.94,-10.36,-10.81,-9.46,-9.02,-9.35,-8.65,-8.98,-8.98,-7.02,-7.96,-6.28,40
Mixed / non conventional,15,18,19,20,48.18,0.36,-0.98,-132.38,-239.913,69.527,-1.48,-1.42,-1.41,-1.39,-1.4,-1.19,-1.2,-1.15,-1,-1.02,-0.8,-0.89,-0.88,-0.86,-0.66,-0.42,-0.5,-0.61,-0.6,-0.69,40
Mixed / non conventional,15,18,20,21,23.33,0.05,0.28,11.18,-34.418,69.527,0.58,1.64,-0.22,0.6,0.51,0.46,0.53,0.7,-0.25,-0.15,0.49,-1.44,-0.36,1.81,0.78,-0.02,0.09,0.51,-0.48,-0.25,40
Mixed / non conventional,15,18,21,22,34.78,0.16,0.83,5.59,-22.912,69.527,3.92,2.19,1.99,-0.7,1.11,1.24,0.78,2.52,0.92,1.56,1.21,-0.16,1.2,0.15,0.24,-0.37,-0.51,-1.34,0.53,0.08,40
Mixed / non conventional,15,18,22,23,37.32,0.47,1.11,-3.93,-13.272,69.527,3.19,3.03,3.02,4.22,3.01,0.7,1.58,2.54,-2.71,-0.97,1.15,-1.07,0.48,4.98,1.43,-0.71,-0.21,0.63,-0.59,-1.41,40
Mixed / non conventional,15,18,23,7,-259.86,0,-299.99,112.53,313.691,69.527,-2929.7,-2508.23,-2168.43,-1884.46,-1643.61,-1437.99,-1261.71,-1110.65,-980.32,-867.79,-770.81,-686.97,-614.58,-550.84,-495.85,-447.39,-405.12,-368.11,-334.74,-306.48,40
Mixed / non conventional,15,18,7,8,-2667.53,0,-299.99,80.53,258.761,69.527,-2893.46,-2540.82,-2222.02,-1942.62,-1700.04,-1490.48,-1309.63,-1153.18,-1017.9,-901.06,-800.07,-711.89,-635.75,-569.91,-512.23,-462.06,-417.86,-379.22,-344.67,-314.61,40
Mixed / non conventional,15,18,8,9,-1385.51,0,-299.99,43.53,194.686,69.527,-3050.27,-2729.13,-2408.34,-2115.34,-1856.05,-1629.25,-1432.2,-1260.83,-1112.3,-984.14,-872.72,-776.35,-692.36,-619.51,-555.55,-500.55,-452.44,-410.15,-372.85,-339.08,40
Mixed / non conventional,15,18,9,10,-224.91,0,-299.99,25.02,48.394,69.527,-2850.6,-2548.51,-2243.96,-1967.09,-1718.44,-1501.01,-1314.86,-1152.53,-1012.83,-890.02,-784.96,-694.29,-618.1,-552.13,-492.75,-440.24,-395.45,-357.1,-321.31,-292.77,40
Mixed / non conventional,15,18,10,11,64.86,0,-299.99,-13.35,-24.273,73.154,-1959.66,-1367.27,-1062.19,-876.37,-748.66,-651.45,-582.67,-528.25,-476.51,-440.6,-397.73,-366.83,-344.05,-316.67,-295.28,-276.92,-265.11,-247.17,-232.37,-213.98,40
Mixed / non conventional,15,18,11,12,39.29,0,999.99,-40.22,-27.227,73.154,8612.02,7002.85,5734.13,4744.21,3980.04,3388.04,2930.64,2574.74,2285.04,2065.84,1877.34,1729.47,1607.96,1499.24,1408.99,1336.77,1274.23,1216.86,1163.08,1104.35,40
Mixed / non conventional,15,18,12,13,32.62,0,999.99,-49.88,-50.641,73.154,3126.46,2563.23,2106.56,1750,1476.57,1261.82,1095.86,965.82,865.13,784.16,720.45,669.23,625.09,592.49,562.93,536.16,515.77,493.98,475.09,462.38,40
Mixed / non conventional,15,18,13,14,12.69,0.31,531,-65.6,-66.474,73.154,1257.03,1019.92,854.25,735.38,647.93,580.74,531.2,493.49,460.36,435.94,415.56,398.98,386.8,374.87,361.95,351.29,341.1,332.72,324.9,315.54,40
Mixed / non conventional,15,18,14,15,-9.03,3.42,18.47,-92.1,-113.878,73.154,-279.59,-204.35,-140.58,-89.16,-47.69,-14.66,11.34,31.61,50.89,63.92,75.26,83.89,90.49,96.82,101.07,103.85,107.01,108.37,109.72,111.23,40
Mixed / non conventional,15,18,15,16,12.49,0.19,-182.51,-97.54,-121.211,73.154,-1038.5,-810.2,-619.42,-467.47,-348.43,-255.51,-183.48,-127.56,-85.71,-50.95,-23.45,-2.41,15.4,27.49,36.41,45.53,52.14,57.41,62.79,65.78,40
Mixed / non conventional,15,19,16,17,30.14,0,1.69,58.27,153.942,48.137,2.44,3.03,4.04,1.93,0.97,1.93,1.74,2.17,1.35,0.99,1.42,1.11,1.38,2.58,1.36,1.96,1.14,0.27,1.45,0.57,40
Mixed / non conventional,15,19,17,18,42.32,13.14,6.55,119.56,216.17,48.137,9.43,7.96,7.38,8.32,8.39,7.22,7.38,6.46,6.68,6.78,6.35,6.47,6.04,5.06,5.64,4.92,5.09,5.5,4.89,5.12,40
Mixed / non conventional,15,19,18,20,46.93,63.37,-29.43,-196.01,47.935,48.137,-32.39,-33.38,-33.89,-32.21,-32.96,-32.6,-31.43,-31.38,-30.88,-30.92,-29.46,-28.96,-28.95,-29.01,-26.65,-26.38,-25.76,-24.94,-23.23,-23.24,40
Mixed / non conventional,15,19,20,21,39.85,0.02,1.39,-24.32,-142.468,48.137,3.4,2.98,2.15,2.13,1.97,2.04,1.72,1.32,1.73,1.09,1.19,0.85,0.47,0.71,1.21,0.38,0.55,0.62,0.79,0.45,40
Mixed / non conventional,15,19,21,22,42.14,0.05,1.97,-4.78,-46.124,48.137,2.91,2.48,3.38,3.09,1.57,1.59,1.88,1.96,2.71,1.86,2.33,1.78,1.76,1.74,1.74,1.45,0.66,1.69,1.57,1.3,40
Mixed / non conventional,15,19,22,23,40.22,0.12,1.21,-8.28,-20.173,48.137,6.84,6.74,0.79,3.77,2.57,3.47,2.13,2.54,2.57,-0.75,-0.32,-2.32,-2.12,-1.69,-1.06,-0.61,-0.97,-1.29,3.5,0.48,40
Mixed / non conventional,15,20,16,17,30.58,0.02,1.56,13.29,490.797,172.89,2.98,2.28,1.99,2.22,1.7,2,2.08,1.82,1.46,1.17,1.63,1.5,1.28,1.05,0.79,0.98,1.29,1.15,1.07,0.83,40
Mixed / non conventional,15,20,17,18,30.52,0.57,1.16,26.15,279.977,172.89,1.81,2.2,1.99,1.18,1.65,1.13,0.74,0.92,1.31,1.37,0.69,0.47,1.16,1.12,1.59,1.22,0.73,0.62,0.55,0.72,40
Mixed / non conventional,15,20,18,19,48.8,5.05,4.29,57.96,783.229,172.89,7.24,6.62,6.1,5.7,5.37,5.01,4.78,4.53,4.29,4.04,3.89,3.73,3.48,3.35,3.16,3.11,3,2.86,2.79,2.67,40
Mixed / non conventional,15,20,19,21,278.36,6.52,-2.39,-209.24,638.277,172.89,-3.02,-3.02,-2.95,-2.84,-2.7,-2.69,-2.66,-2.56,-2.42,-2.46,-2.4,-2.31,-2.26,-2.14,-1.94,-2,-1.93,-1.98,-1.85,-1.75,40
Mixed / non conventional,15,20,21,22,76.96,0.01,1.29,5.54,-1008.369,172.89,2.47,2.22,2.01,1.85,1.68,1.55,1.42,1.32,1.27,1.18,1.08,1.03,1,0.96,0.88,0.84,0.79,0.79,0.78,0.7,40
Mixed / non conventional,15,20,22,23,46.17,0.04,0.29,-3.18,-189.033,172.89,1.17,1.09,1.15,0.62,0.38,-0.17,-0.16,0.23,0.02,0.64,0.49,0.06,-0.11,0.04,-0.01,0,-0.29,0.1,0.09,0.36,40
Mixed / non conventional,16,17,18,19,39.93,0.89,1.16,-3.85,-290.357,137.081,3.2,2.76,1.56,1.89,0.57,1.63,0.81,1.08,1.62,1.64,-0.81,0.82,1.65,1.5,0.28,-0.54,0.58,0.32,1.59,0.98,40
Mixed / non conventional,16,17,19,20,25.47,70.22,-48.25,-26.75,-46.305,137.081,-69.73,-66.82,-59.42,-61.69,-51.94,-56.32,-47.35,-49.53,-53.43,-51.08,-34.32,-44.29,-49.78,-45.5,-38.6,-31.83,-37.69,-34.49,-42.22,-39.08,40
Mixed / non conventional,16,17,20,21,22.72,186.31,36.86,-117.15,-16.522,137.081,54.07,54.06,50.57,44.79,43.55,42.83,42.91,40.8,37.4,39.96,37.85,35.96,30.54,29.58,28.92,28.18,21.54,23.82,23.37,26.41,40
Mixed / non conventional,16,17,21,22,29.06,0.46,0.71,7.66,-10.566,137.081,4.66,-0.59,-0.85,0.59,-4.07,2.37,-2.2,2.88,1.78,5.17,4.32,2.37,0.34,-1.1,-0.25,-1.61,-0.42,-1.52,6.35,-4.07,40
Mixed / non conventional,16,17,22,23,30.45,0.45,1.22,-2.93,-6.327,137.081,-0.14,0,0,-2.12,1.56,1.27,-3.82,0.85,-2.4,5.51,-2.4,4.81,10.89,3.68,3.11,-3.82,-4.67,2.97,4.38,4.81,40
Mixed / non conventional,16,18,5,6,996.67,0,-299.99,-13.39,-29.342,69.005,-1938.12,-1382.19,-1079.76,-889.56,-763.87,-671.93,-600.99,-543.24,-497.51,-453.97,-416.72,-381.05,-353.07,-327.63,-309.88,-290.45,-274,-258.04,-239.1,-222.46,40
Mixed / non conventional,16,18,6,7,943.97,0,999.99,-30.64,-36.651,69.005,6789.95,5582.58,4601.88,3828.73,3230.6,2763.87,2397.96,2109.92,1889.08,1706.26,1556.5,1433.68,1336.66,1252.18,1179.48,1114.8,1054.82,1004.34,958.94,916.49,40
Mixed / non conventional,16,18,7,8,1190.93,55.52,923.78,-42.29,-62.754,69.005,2563.64,2132.45,1769.97,1480.93,1253.3,1077.41,940.86,834.14,747.42,681.59,631.95,589.64,551.58,521.79,495.57,474.37,456.66,439.98,423.48,408.9,40
Mixed / non conventional,16,18,8,9,1132.6,5.58,442.3,-54.81,-83.912,69.005,1023.93,836.53,704.56,608.14,538.86,486.84,445.23,412.1,388.07,368.5,349.89,335,323.93,312.99,304.7,295.59,287.64,281.23,274.73,267.52,40
Mixed / non conventional,16,18,9,10,1262.66,8.57,-7.27,-83.62,-137.57,69.005,-295.98,-222.65,-160.9,-111.29,-72.72,-40.8,-15.74,4.68,19.06,32.84,45.16,54.63,61.39,68.02,72.91,77.06,80.77,83.54,85.9,88.79,40
Mixed / non conventional,16,18,10,11,866.46,6.78,-172.23,-87.57,-147.269,69.005,-909.27,-722.94,-561.45,-431.2,-326.89,-245.47,-182.08,-131.78,-91.51,-60.73,-36.4,-16.13,0.67,13.8,25.8,35.22,41.35,47.35,51.8,55.17,40
Mixed / non conventional,16,18,11,12,653.69,4.07,-262.22,-103.39,-188.023,69.005,-1155.13,-905.1,-707.96,-554.05,-436.08,-343.43,-271.16,-214.6,-170.07,-133.45,-103.8,-79.73,-61.53,-45.45,-32.72,-22.16,-12.72,-5.29,1.84,8.18,40
Mixed / non conventional,16,19,17,18,43,6.64,2.96,144.28,320.365,46.811,4.63,4.86,4.29,3.78,3.97,3.93,3.23,3.68,3.24,3.11,2.91,2.12,2.3,2.08,2.2,2.48,1.68,1.57,1.51,1.51,40
Mixed / non conventional,16,19,18,20,51.01,24.63,-4.27,-88.16,95.016,46.811,-1.91,-4.93,-4.34,-4.1,-5.07,-6.65,-4.84,-6.78,-5.39,-5.18,-5.6,-3.59,-4.47,-3.6,-3.37,-5.1,-2.67,-2.42,-2.69,-2.78,40
Mixed / non conventional,16,19,20,21,40,0.19,1.11,-115.02,-134.099,46.811,2.92,2.08,1.94,1.86,1.78,1.57,1.38,1.33,1.06,1.08,1.14,0.45,0.52,0.43,0.72,0.3,0.56,0.48,0.07,0.48,40
Mixed / non conventional,16,19,21,22,40.86,0.28,1.18,-2.9,-40.588,46.811,2.43,2.12,1.8,2.15,0.87,1.9,1.99,1.05,0.51,-0.11,1.58,1.7,1.78,1.09,0.18,0.95,0.76,0.87,0.19,-0.27,40
Mixed / non conventional,16,19,22,23,37.82,0.39,1.65,-7.18,-16.77,46.811,5,2.85,2.62,3.81,3.97,2.42,2.23,0.75,0.19,3.42,1.51,0.19,-0.44,-0.88,-0.33,0.88,2.27,1.32,0.22,0.97,40
Mixed / non conventional,16,19,22,3,-5464.28,0.76,-114.12,6659.96,8355.672,53.056,451.93,-397.04,-337.4,-287.59,-245.89,-210.97,-181.83,-157.34,-136.68,-119.4,-104.75,-92.38,-81.8,-72.77,-65.18,-58.58,-52.86,-47.99,-43.79,-40.14,40
Mixed / non conventional,16,19,3,14,-259.41,0,-299.99,-29.07,625.55,53.056,-551.01,-556.4,-551.99,-542.88,-531.19,-518.12,-504.18,-489.75,-474.85,-459.99,-444.91,-430.08,-415.6,-401.4,-387.51,-373.88,-360.64,-347.8,-335.32,-323.29,40
Mixed / non conventional,16,19,14,15,-154.16,0,-299.99,-3.88,585.804,53.056,-364.57,-399.33,-419.42,-430.5,-435.63,-436.47,-434.33,-429.73,-423.4,-415.51,-406.61,-396.77,-386.59,-376.12,-365.33,-354.4,-343.64,-332.8,-322.07,-311.47,40
Mixed / non conventional,16,19,15,16,62.1,1.7,-298.29,5.94,568.038,53.056,-142.53,-201.61,-249.48,-286.44,-314.01,-333.97,-348.03,-357.14,-362.12,-364.07,-363.02,-360.14,-355.79,-349.84,-343.26,-335.83,-327.86,-319.33,-310.73,-301.83,40
Mixed / non conventional,16,19,16,17,-67.32,19.44,-277.8,-17.74,473.722,53.056,69.91,-38.87,-123.62,-189.11,-239.58,-277.67,-305.76,-326.07,-340.68,-349.86,-355.68,-358.04,-357.72,-355.29,-351.05,-345.45,-339.05,-331.99,-324.46,-315.99,40
Mixed / non conventional,16,20,17,18,37.65,0.05,1.3,27.04,796.018,199.276,2.69,2.13,2.22,1.98,1.28,1.63,1.54,1.42,1.37,1.28,0.93,0.84,0.78,1,0.85,0.67,0.54,0.81,1.15,0.8,40
Mixed / non conventional,16,20,18,19,49.71,3.3,3.5,85.28,1051.101,199.276,6.19,5.67,5.02,4.73,4.63,4.04,3.76,3.6,3.33,3.16,3.17,3.01,2.93,2.7,2.65,2.58,2.52,2.28,2,2.05,40
Mixed / non conventional,16,20,19,21,191.03,4.37,-1.27,-209.65,807.827,199.276,-1.39,-1.42,-1.58,-1.65,-1.4,-1.47,-1.38,-1.39,-1.34,-1.26,-1.19,-1.12,-1.2,-1.24,-1.14,-1.05,-1.03,-1.07,-1.12,-0.96,40
Mixed / non conventional,16,20,21,22,77.29,0.02,1.26,-4.17,-1143.98,199.276,2.48,2.22,1.91,1.67,1.67,1.51,1.41,1.27,1.19,1.14,1.1,1.08,0.99,0.91,0.85,0.84,0.79,0.75,0.66,0.69,40
Mixed / non conventional,16,20,22,23,45.43,0.01,0.31,-4.75,-205.854,199.276,1.15,0.8,0.72,0.56,0.64,0.35,0.25,0.34,0.1,-0.08,0.2,0.1,0.17,-0.05,0.22,0.42,0.4,0.02,-0.2,0.09,40
Mixed / non conventional,16,21,17,18,39.75,0.08,1.47,14.91,1084.656,293.926,2.78,2.71,2.25,2.12,1.99,1.41,1.41,1.65,1.51,1.26,1.38,1.11,1.35,1.04,0.86,0.72,1.09,0.98,0.95,0.88,40
Mixed / non conventional,16,21,18,19,52.42,0.19,1.94,24.38,817.429,293.926,4.25,3.39,3.13,2.76,2.53,2.71,2.43,1.83,1.68,1.75,1.63,1.61,1.16,1.43,1.43,1.41,1.03,0.91,0.91,0.85,40
Mixed / non conventional,16,21,19,20,74.91,1.55,1.76,-62.25,2044.222,293.926,2.97,2.67,2.48,2.3,2.12,2.02,1.91,1.81,1.72,1.67,1.57,1.53,1.44,1.4,1.4,1.36,1.24,1.23,1.18,1.14,40
Mixed / non conventional,16,21,20,22,-161.81,5.35,4.47,-92.76,-630.79,293.926,6.8,6.26,6.04,5.63,5.38,5.08,4.88,4.72,4.56,4.39,4.06,3.98,3.86,3.71,3.67,3.47,3.27,3.28,3.24,3.06,40
Mixed / non conventional,16,21,22,23,45.78,0.01,0.18,-2.39,-1019.893,293.926,0.78,0.47,0.39,0.32,0.22,0.24,0.18,0.1,0.16,0.08,0.14,0.14,0.03,0.05,0.08,0.11,0.01,0.04,0.06,0,40
Mixed / non conventional,17,18,19,20,53,0.18,-1.1,-86.9,-143.918,51.185,-1.53,-3.25,-2.77,-2.04,-1.49,-1.83,-0.45,-0.35,-1.45,-0.63,-0.19,-0.76,-0.7,-0.34,-1.55,-1.04,-0.35,-0.78,-0.08,-0.52,40
Mixed / non conventional,17,18,20,21,20.32,100.13,-72.57,-112.27,-13.793,51.185,-104.69,-80.2,-83.11,-86,-94.08,-83.33,-88.79,-80.43,-72.16,-72.38,-73.89,-71.65,-71.31,-69.14,-50.68,-54.42,-56.91,-56.1,-53.66,-48.4,40
Mixed / non conventional,17,18,21,22,37.01,118.22,48.29,46.45,-10.051,51.185,68.21,67.05,66.17,58.47,62.26,60.5,56.94,51.78,50.8,46.92,46.03,43.19,39.35,37.34,37.98,38.17,35.49,34.52,32.14,32.55,40
Mixed / non conventional,17,18,22,23,31.74,1.3,-1.49,-3.06,-4.309,51.185,3.73,-16.62,-12.47,-9.55,-1.67,-18.89,-3.33,17.04,-4.98,8.92,16.6,-0.85,-8.49,1.64,-11.03,-6.03,-0.41,4.78,6.64,5.19,40
Mixed / non conventional,17,19,9,10,697.08,0,-299.99,-12.29,-26.392,35.263,-1998.23,-1410.96,-1095.96,-905.77,-773.47,-676.49,-603.93,-540.34,-491.83,-447.39,-411.46,-376.19,-340.92,-317.46,-300.3,-278.53,-264.3,-244.54,-227.11,-213.8,40
Mixed / non conventional,17,19,10,11,163.86,0,999.99,-27.01,-9.123,35.263,31700.39,26309.88,21967.86,18582.71,15938.66,13861.83,12220.7,10891.81,9850.84,8970.33,8262.67,7657.43,7139.15,6717.48,6357.2,6036.33,5754.1,5471.14,5247,5025.59,40
Mixed / non conventional,17,19,11,12,402.38,0,999.99,-35.22,-34.949,35.263,4605.3,3894.08,3295.79,2814.41,2436.75,2137.1,1900.58,1712.94,1557.68,1431.96,1326.97,1243.17,1170.16,1108.2,1053.75,1004.74,964.27,925.45,889.03,859.14,40
Mixed / non conventional,17,19,12,13,358.83,19.03,842.38,-49.51,-52.744,35.263,1723.91,1473.48,1288.78,1148.57,1040.31,955.67,887.01,829.36,782.4,737.94,704.22,675.59,645.92,621.73,600.68,582.07,563.74,544.75,529.51,511.99,40
Mixed / non conventional,17,19,13,14,367.45,2.07,93.97,-72.61,-103.113,35.263,-227.89,-128.32,-52.33,5.36,47.35,77.99,102.39,121.63,134.72,147.04,152.88,158.6,164.07,167.78,169.22,168.59,168.81,169.05,166.32,166.09,40
Mixed / non conventional,17,19,14,15,174.65,0.47,-120.04,-78.13,-114.353,35.263,-923.61,-707.59,-525.85,-382.18,-270.51,-181.75,-114.42,-63.54,-23.96,6.48,31.94,50.38,63.57,74.72,82.7,89.24,93.54,96.88,101.35,101.76,40
Mixed / non conventional,17,20,18,19,46.39,3.34,2.78,137.12,896.252,121.4,5.3,4.66,4.15,4.04,3.52,3.21,2.83,2.87,2.96,2.6,2.46,2.38,2.22,1.91,1.75,1.94,1.62,1.89,1.59,1.63,40
Mixed / non conventional,17,20,19,21,113.52,5.81,-1.35,-241.9,548.323,121.4,-1.92,-1.83,-1.7,-2.07,-1.54,-1.5,-1.1,-1.43,-1.79,-1.45,-1.43,-1.38,-1.29,-0.93,-0.75,-1.18,-0.8,-1.2,-0.79,-0.94,40
Mixed / non conventional,17,20,21,22,79.04,0.02,1.23,39.42,-687.194,121.4,2.54,2.12,1.92,1.71,1.54,1.46,1.36,1.27,1.15,1.09,0.96,0.99,0.97,0.93,0.82,0.86,0.82,0.82,0.66,0.67,40
Mixed / non conventional,17,20,22,23,46.49,0.13,0.46,-3.24,-119.754,121.4,0.45,0.92,0.71,1.16,0.74,0.41,0.61,0.26,0.68,0.24,0.46,-0.1,0.32,0.36,1.65,0.27,0.28,-0.41,0.11,0.08,40
Mixed / non conventional,17,20,23,4,108.91,0,-299.99,322.78,-381.066,121.4,-2029.97,-1884.29,-1732.76,-1586.97,-1449.79,-1324.37,-1209.7,-1106.46,-1012.82,-927.12,-849.95,-779.63,-715.64,-656.78,-603.91,-556.3,-511.68,-472.07,-434.9,-401.37,40
Mixed / non conventional,17,20,4,5,7695.57,0,-299.99,277.11,-333.596,121.4,-2060.87,-1903.39,-1745.2,-1595.87,-1458,-1332.02,-1217.55,-1113.98,-1019.99,-934.18,-856.46,-785.64,-721.69,-663.47,-610.44,-562.02,-517.74,-477.64,-440.53,-406.91,40
Mixed / non conventional,17,20,5,6,5636.34,0,-299.99,249.79,-306.433,121.4,-2186.11,-1994.83,-1818.49,-1657.9,-1513.17,-1382.12,-1263.45,-1155.56,-1057.6,-969.12,-888.92,-815.8,-749.35,-688.89,-633.72,-582.95,-536.76,-494.47,-456.21,-421.09,40
Mixed / non conventional,17,20,6,7,3298.07,0,-299.99,182.33,-229.174,121.4,-2450.58,-2144.82,-1915.96,-1730.08,-1571.03,-1431.44,-1307.22,-1195.48,-1094.48,-1002.56,-919.96,-844.81,-776.35,-713.97,-657,-605.11,-557.21,-513.87,-474.31,-438.26,40
Mixed / non conventional,17,20,7,8,1901.44,0,-299.99,128.96,-172.702,121.4,-2749.29,-2384.46,-2120.09,-1908.87,-1731.92,-1577.63,-1440.5,-1316.31,-1204.3,-1103.92,-1012.85,-929.22,-853.62,-785.04,-722.18,-664.53,-612.09,-563.36,-520.12,-479.71,40
Mixed / non conventional,17,20,8,9,419.11,0,-299.99,36.48,-51.122,121.4,-2199.75,-1897.46,-1658.83,-1476.03,-1324.59,-1198.51,-1088.7,-996.2,-911.98,-831.7,-761.28,-699.77,-642.44,-589.36,-540.05,-500.57,-459.43,-425.26,-391.22,-363.86,40
Mixed / non conventional,17,21,18,19,46.13,0.18,1.58,79.1,755.42,154.333,3.96,2.99,2.77,2.45,2.02,1.97,1.54,1.41,1.45,1.35,1.68,1.19,1.16,1.3,1.18,0.74,0.78,0.83,0.28,0.46,40
Mixed / non conventional,17,21,19,20,68.95,1.91,1.47,72.63,1129.001,154.333,2.06,2.18,1.93,1.83,1.78,1.67,1.72,1.66,1.48,1.37,1.09,1.3,1.3,1.09,1.02,1.24,1.13,1.01,1.36,1.16,40
Mixed / non conventional,17,21,20,22,-92.81,7.51,4.36,-208.82,-303.948,154.333,6.46,6.06,5.6,5.42,5.1,5.15,4.82,4.67,4.35,4.22,4.02,3.85,3.9,3.76,3.48,3.39,3.26,3.44,3.32,2.93,40
Mixed / non conventional,17,21,22,23,46.09,0.02,0.19,-5.08,-528.309,154.333,0.6,0.62,0.41,0.38,0.29,0.15,0.22,0.02,0.1,0.22,-0.02,0.17,0.02,-0.06,-0.01,0.12,0.15,-0.04,0.12,0.24,40
Mixed / non conventional,17,22,18,19,45.95,0.14,1.51,57.78,553.118,129.66,3.53,2.68,2.76,2.64,1.97,1.67,1.73,1.88,1.34,1.39,1.37,1.33,1.01,0.61,0.52,0.85,0.86,0.92,0.74,0.49,40
Mixed / non conventional,17,22,19,20,45.98,0.67,0.78,24.46,316.298,129.66,0.82,1.32,0.77,0.47,1.21,1.19,0.45,0.07,0.73,0.5,0.54,0.68,0.82,1.26,1.49,0.72,0.58,0.38,0.8,0.79,40
Mixed / non conventional,17,22,20,21,39.92,1.35,1.08,-489.93,480.484,129.66,2.38,2.02,1.84,1.66,1.46,1.35,1.24,1.1,1.2,0.92,0.91,0.72,0.69,0.7,0.62,0.6,0.57,0.52,0.52,0.49,40
Mixed / non conventional,18,19,20,21,46.47,4.86,2.28,-426.89,-52.491,21.29,3.98,3.24,3.29,2.54,3.8,2.69,3.55,2.63,0.69,0.98,1.66,1.34,2.31,1.28,1.81,2.59,1.96,2.1,1.8,1.46,40
Mixed / non conventional,18,19,21,22,43.62,117.17,-54.29,170.78,-12.317,21.29,-72.96,-67.82,-64.86,-63.21,-65.37,-61.7,-60.15,-59.48,-53.01,-54.3,-53.7,-52.86,-49.77,-46.84,-50.68,-47.91,-41.4,-43.03,-38.01,-38.75,40
Mixed / non conventional,18,19,22,23,51.53,112.25,35.29,115.95,-5.82,21.29,51.74,46.22,42.29,47.78,42.5,42.29,36.22,36.74,33.19,26.54,27.12,29.8,29.74,26.86,34.07,30.58,27.47,38.7,29.17,26.87,40
Mixed / non conventional,18,20,13,14,-78.88,0,-299.99,-15.64,18.001,54.743,-1351.9,-1176.08,-958.14,-773.96,-637.86,-536.29,-453.92,-395.77,-349.49,-319.56,-284.2,-264.53,-240.51,-219.83,-198.75,-181.3,-163.96,-159.28,-147.33,-135.05,40
Mixed / non conventional,18,20,14,15,-369.61,1.27,264.91,-31.25,161.014,54.743,-64.78,149.6,270.59,335.62,367.2,377.83,375.37,365.52,350.51,334.67,316.07,298.44,281.39,265.32,249.11,232.91,218.05,204.04,191.57,179.24,40
Mixed / non conventional,18,20,15,16,-168.65,2.26,198.91,-45.84,171.424,54.743,-108.27,78.25,183.83,242.75,272.56,284.87,285.86,280.06,271.52,259.74,247.38,234.83,221.09,207.75,196.28,184.22,173.31,163.55,153.87,144.76,40
