El-array,Spa.1,Spa.2,Spa.3,Spa.4,Rho,Dev.,M,Sp,Vp,In,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12,M13,M14,M15,M16,M17,M18,M19,M20,TM1
Mixed / non conventional,0,2,17,18,64.07,5.67,-4.83,22.65,-0.63,68.745,-22.73,17.76,-83.1,-45.45,-20.6,16.34,17.05,-3.55,71.02,-9.23,-12.78,-40.48,-23.44,68.89,-19.18,2.84,-44.03,66.76,63.92,-96.59,40
Mixed / non conventional,0,2,18,19,96.51,2.99,-5.38,-21.72,-0.795,68.745,-62.07,29.62,-0.69,18.04,-16.38,-29,39.01,-68.06,-64.91,-10.74,67.5,30.36,-52.93,-29.04,-26.72,5.2,54.41,31.04,-9.64,-12.55,40
Mixed / non conventional,0,2,19,20,93.55,7.35,-11.92,11.12,-0.651,68.745,102.18,-13.31,-50.4,-67.78,-3.21,7.35,5.47,24.55,-8,-15.56,-12.94,-10.56,-52.46,-24.64,-55.77,9.82,-12.72,6.92,-30.2,-37.18,40
Mixed / non conventional,0,2,20,21,61.45,24.69,-30.77,12.53,-0.365,68.745,-130.01,-18.83,-87.54,47.78,-19.53,67.41,98.56,-115.89,-132.51,-65.1,37.16,32.65,-109.58,-77.82,-60.5,76.22,39.76,52.48,-106.27,-143.83,40
Mixed / non conventional,0,2,21,22,91.04,6.17,3.95,7.71,-0.465,68.745,10.51,-8.85,-23.84,-5.63,12.06,16.08,4.83,0,-71.75,5.74,-30.5,12.75,31.25,-26.02,-1.95,45.73,4.48,1.26,59.86,42.91,40
Mixed / non conventional,0,2,22,23,85.71,5.34,-9.74,4.05,-0.379,68.745,-72.54,-37.69,-46.96,135.47,8.93,-47.05,33.4,-94.35,-145.35,-79.5,163.03,119.76,-61.98,-29.62,18.97,5.67,97.96,58.89,-73.32,-148.44,40
Mixed / non conventional,0,3,1,2,55.48,4.61,3,113.49,538.619,61.001,5.7,4.94,4.59,4.5,4.21,3.91,3,2.97,2.94,2.79,2.59,2.33,2.45,2.19,1.7,1.93,1.85,1.81,1.65,2.03,40
Mixed / non conventional,0,3,2,5,108.36,11.88,4.8,-245.92,-210.412,61.001,7.34,6.47,6.26,7.1,6.87,6.44,4.58,4.73,4.89,4.66,4.37,3.84,4.33,3.57,2.98,3.68,3.23,3.47,3.08,4.04,40
Mixed / non conventional,0,3,5,11,25.63,0.13,0.44,9.31,-66.162,61.001,1.36,1.77,1.16,0.4,0.82,0.56,-0.01,-0.03,0.63,0.48,0.82,0.03,0.51,0.4,-0.12,0.51,-0.33,-0.07,-0.14,0.11,40
Mixed / non conventional,0,3,11,10,37.35,0.99,-2.26,6.93,3.178,61.001,8.49,-1.12,6.24,-3.63,-3.76,-1.12,3.51,0.89,9.02,-10.3,-8.75,-1.43,8.89,6.31,-9.09,-9.05,-20.67,-9.44,-7.15,-3.12,40
Mixed / non conventional,0,3,10,9,33.73,1.22,1.51,-3.8,4.159,61.001,10.86,0.15,1.78,-3.75,-0.59,-3.75,4.1,9.89,2.76,-1.9,-5.83,7.44,-3.16,-11.34,-7.14,-0.86,13.89,6.78,6.35,4.5,40
Mixed / non conventional,0,3,9,4,33.13,0.02,0.41,-14.85,223.395,61.001,1.46,1.1,1,0.83,0.65,0.5,0.31,0.4,0.31,0.22,0.25,0.32,0.36,0.16,-0.04,0.08,-0.01,0,0.15,0.18,40
Mixed / non conventional,0,3,9,6,27,0.51,1.15,-15.21,28.053,58.747,-4.26,16.91,4.17,-4.62,-3.62,8.04,8.59,0.13,7.24,-2.37,-5.3,1.76,-6.11,-3.95,-0.23,5.6,1.88,-2.9,-0.03,2.17,40
Mixed / non conventional,0,3,6,13,30.56,0.09,1.74,10.03,-41.034,58.747,-1.73,11.65,5.76,-3.05,-2.69,6.97,6.07,1.91,6.24,-1.75,-3.4,1.89,-2.68,-2.38,2.06,4.49,3.03,-1.41,1.45,2.35,40
Mixed / non conventional,0,3,13,12,63.2,3.21,2.5,-9.82,2.778,58.747,2.44,9.56,-1.07,14.74,21.56,12.27,-11.23,-18.36,-2.35,12.43,12.61,-16.44,-5.81,13.47,-3.58,-6.7,8.26,29.58,-8.58,-12.88,40
Mixed / non conventional,0,3,12,11,52.39,3.88,-2.94,12.51,3.092,58.747,5.57,15.63,-12.37,-2.56,-6.11,-15.55,6.6,-3.5,3.29,-6.57,-10.21,-6.89,1.72,-10.43,-6.25,-2.52,-10.27,-5.09,0.55,6.07,40
Mixed / non conventional,0,3,11,23,66.31,0.28,0.89,-0.79,-17.092,58.747,3.82,-1.16,0.26,4.61,1.24,0.2,2.51,1.82,-1.56,-0.8,1.3,-0.63,1.16,2.08,-0.57,0.79,1.46,0.05,-0.84,2.11,40
Mixed / non conventional,0,3,23,22,79.45,18.93,18.01,-3.18,0.487,58.747,5.51,-47.79,158.09,53.31,88.24,88.24,40.44,-29.41,-130.51,84.56,58.82,121.32,-3.68,-64.34,97.43,-64.34,-115.81,-93.75,99.26,14.71,40
Mixed / non conventional,0,3,22,21,86.68,7.74,4.76,-7.39,0.616,58.747,4.6,-77.72,44.17,-78.8,59.93,52.83,3.45,13.19,-23.27,10.01,59.66,16.23,33.14,-47.01,76.57,-33.41,4.06,-114.04,52.83,38.83,40
Mixed / non conventional,0,3,21,10,58.16,0.52,1.14,19.38,18.989,58.747,0.38,6.08,1.05,2.64,1.46,1.14,2.95,1.22,-0.35,1,-1.58,1.53,1.84,-1.45,-1.21,0.9,-1.53,0.35,3.02,3.44,40
Mixed / non conventional,0,3,10,7,30.89,0.13,1.2,-24.87,18.569,58.747,4.05,4.58,3.57,2.26,2.75,4.24,0.34,2.38,1.44,-0.67,-0.19,0.43,-0.29,-2.31,-0.72,0.63,-0.29,1.01,-0.59,1.35,40
Mixed / non conventional,0,3,7,15,36.96,0.17,1.05,-11.53,-31.269,58.747,3.36,2.88,1.85,1.14,-0.98,0.82,-0.4,0.4,1.63,-0.76,-0.16,2.09,1.69,2.64,2.08,1.12,0.85,1.4,-0.41,-0.29,40
Mixed / non conventional,0,3,8,17,44.3,0.43,-0.66,-27.04,-24.889,56.581,-2.63,-5.07,0.96,0.51,10.74,-0.74,-2.42,7.35,4.44,-2.55,1.34,-7.74,-3.5,-7.47,-10.4,-2.79,2.08,2.72,2.25,-0.33,40
Mixed / non conventional,0,3,17,16,52.49,18.07,-43.59,43.33,0.859,56.581,-131.25,-141.67,-10.42,-54.17,297.92,-114.58,-171.88,80.21,41.67,-133.33,19.79,-171.88,-63.54,-243.75,-350,-122.92,69.79,160.42,140.63,27.08,40
Mixed / non conventional,0,3,16,15,90,0.02,0.07,-37.48,1.818,56.581,23.64,27.14,-2.95,-3.51,3.45,13.24,27.48,0.02,-2.84,21.17,10.79,-40.36,-8.86,-4.41,4.05,2.47,-7.89,-24.69,-18.32,-18.14,40
Mixed / non conventional,0,3,15,14,62.15,1.7,2.84,12.2,1.575,56.581,-50.57,6.82,1.14,3.41,-43.18,-38.07,-10.23,-14.77,-17.61,-3.98,31.25,39.2,27.27,27.27,11.36,25,17.05,48.3,11.36,-14.2,40
Mixed / non conventional,0,3,14,13,61.44,0.22,-1.26,16.31,1.99,56.581,22.96,-11.64,-7.65,-3.6,29.21,22.51,9.04,27.06,-0.88,-13.43,-28.73,-40.88,-21.56,-10.72,24.31,7.15,-8.17,-11.35,-1.48,-7.3,40
Mixed / non conventional,0,3,13,9,42.69,0.18,2.5,5.4,12.485,56.581,3.5,5.43,5.59,3.14,0.72,-1.85,-1.01,0.15,-0.43,-3.38,6.23,5.95,5.46,5.81,-1.21,4.3,4.58,5.24,2.87,-1.08,40
Mixed / non conventional,0,3,9,19,50.52,0.05,1.41,-38.31,-20.785,56.581,0.22,1.73,1.59,1.98,4.34,3.58,2.03,1.77,1.16,2.37,-0.85,-3.18,1.29,0.51,-0.35,0.68,2.54,1.25,3.91,1.55,40
Mixed / non conventional,0,3,19,18,95.98,2.54,9.03,22.77,1.074,56.581,-14.85,-1.73,62.57,-1.82,6.8,-73.99,4.13,30.23,36.63,-24.32,68.7,76.01,32.98,-10.89,-42.63,27.52,53.14,11.18,-0.62,-58.37,40
Mixed / non conventional,0,3,17,18,59.55,41.46,36.75,25.84,-0.773,54.612,-199.07,-36.46,386,192.71,53.24,-92.01,112.27,173.03,185.19,151.04,-79.28,406.83,166.09,-136.57,-8.68,27.78,-138.31,-486.69,24.31,33.56,40
Mixed / non conventional,0,3,18,19,101.44,28.89,-7.43,-24.32,-1.096,54.612,177.58,142.69,-148.89,-105.16,1.94,74.49,-57.04,-119.84,-143.35,-39.51,120.2,-231.03,-100.82,61.06,-30.04,-4.41,87.34,303.4,-97.29,-39.82,40
Mixed / non conventional,0,3,19,20,92.22,11.66,-13.93,11.62,-0.838,54.612,-32.29,-128.72,-89.78,13.51,-26.42,7.35,-27.6,-19.38,-50.4,31.72,14.91,-8.84,-43.27,-1.6,21.14,55.85,45.08,33.76,-2.26,-71.44,40
Mixed / non conventional,0,3,20,21,62.21,9.3,-7.42,12.36,-0.48,54.612,-35.96,-47.05,30.27,8.96,43.77,-30.27,9.25,-13.84,-88.18,-5.51,27.06,46.47,36.19,-52.85,-131.72,108.17,54.06,-2.99,-68.07,-36.19,40
Mixed / non conventional,0,4,2,1,45.76,0.02,1.99,-42.2,-247.568,50.99,5.02,4.1,2.55,3.42,2.3,1.97,2.17,0.76,1.03,1.88,1.22,1.41,1.18,1.96,1.64,2.16,1.78,1.83,0.43,1,40
Mixed / non conventional,0,4,1,3,41.08,8.72,5.04,209.95,444.485,50.99,8.1,7.47,6.37,6.54,5.95,5.59,5.5,4.39,4.63,4.98,4.61,4.55,4.31,4.56,4.07,4.21,4,4.07,3.4,3.55,40
Mixed / non conventional,0,4,3,7,31.69,31.41,12.41,-310.33,-122.458,50.99,16.8,15.94,15.4,15.07,14.52,14.11,13.34,12.88,12.68,12.08,11.71,11.54,11.62,11.17,10.3,10.38,9.91,9.83,9.54,9.31,40
