El-array,Spa.1,Spa.2,Spa.3,Spa.4,Rho,Dev.,M,Sp,Vp,In,Time,Latitude,Longitude,,,,,,,,,,,,,,,,,,TM1
Mixed / non conventional,19,20,22,23,42.96,33.95,-18.46,191.36,-83.486,146.518,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,19,21,17,18,-0.57,24.75,11.45,-7.94,5.349,140.442,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,19,21,18,19,8.64,0,-299.99,-68.33,225.307,140.442,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,19,21,19,20,-19.65,0,-299.99,-69.18,219.646,140.442,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,19,22,20,21,45.42,3.53,1.38,246.89,954.313,132.012,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,19,23,20,21,42.47,0.36,0.98,174.81,553.806,122.892,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,19,23,21,22,34.72,3.74,2.47,-2.05,452.663,122.892,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,20,23,22,21,42.89,0.3,1.47,29.23,-1059.853,155.249,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,20,23,21,22,42.9,0.12,1.45,-46.45,1059.825,155.236,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,2,3,0,66.12,0.11,0,-20.56,-906.971,86.183,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,2,0,4,69.48,0.11,0,2.99,635.304,86.183,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,2,0,5,74.74,0.04,0,110.71,590.952,85.167,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,3,4,0,56.6,0,0,15.94,-1337.508,111.36,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,3,0,5,60.36,0.04,0,95.09,980.591,111.36,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,2,3,1,0,65.24,0.77,0,-253.9,326.988,94.48,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,2,3,0,4,43.74,0,0,-16.37,438.455,94.48,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,2,3,4,1,50.96,0.06,0,207.13,-767.535,94.631,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,2,3,1,5,50.31,0.07,0,-93.35,505.155,94.631,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,2,3,1,6,53.76,0.04,0,-58.07,472.982,94.766,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,2,3,6,0,38.23,0,0,-109.41,-144.156,94.766,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,2,3,0,4,43.76,0,0,-15.56,439.979,94.766,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,2,4,0,5,37.36,0.05,0,81.7,630.519,115.693,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,2,5,3,0,72.31,0.19,0,252.87,199.524,86.69,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,2,5,0,4,38.16,1.1,0,-428.52,421.211,86.69,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,3,4,0,1,33.11,0.03,0,131.8,-73.864,168.219,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,3,4,1,2,59.3,0.43,0,104.22,-529.231,168.219,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,3,4,2,5,45.02,0.34,0,-527.73,1205.197,168.219,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,3,4,5,1,37.89,0.07,0,345.8,-678.048,168.66,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,3,4,1,6,33.95,0,0,-17.63,303.795,168.66,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,3,4,6,2,46.67,0.07,0,45.62,-835.216,168.66,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,3,4,2,7,48.83,0.04,0,-76.24,764.624,168.66,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,3,7,4,0,42.73,0.04,0,216.56,447.621,138.237,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,3,7,0,5,48.08,0.11,0,-177.56,201.489,138.237,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,4,5,0,1,28.23,0.12,0,117.38,-21.781,145.413,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,4,5,1,2,32.52,0.17,0,-28.5,-62.718,145.413,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,4,5,2,3,52.14,0.64,0,163.23,-402.267,145.413,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,4,5,3,6,52.48,0.27,0,-117.67,1214.591,145.413,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,4,5,1,6,55.52,0.03,0,19.45,748.117,145.138,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,4,5,6,2,52.65,0,0,-59.8,-810.797,145.138,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,4,5,2,7,36.24,0.16,0,-299.52,279.064,145.138,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,4,5,7,3,44.23,0.13,0,401.03,-681.185,145.138,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,4,5,3,8,46.42,0.1,0,-60.81,625.507,145.138,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,4,6,0,2,29.08,0.03,0,64.44,-104.695,135.74,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,4,9,3,0,40,0.03,0,-98.08,420.184,95.047,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,4,9,0,5,31.97,0.15,0,1.36,-295.574,95.047,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,5,0,4,52.48,0.05,0,208.55,1208.254,98.627,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,5,6,0,1,21.42,53.61,0,268.65,-5.427,95.539,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,5,6,1,2,25.02,22.49,0,-218.59,-12.683,95.539,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,5,6,2,3,26.35,0.1,0,68.35,-33.389,95.539,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,5,6,3,4,41.9,0.11,0,25.21,-212.384,95.539,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,5,6,4,7,35.43,0.05,0,-298.9,538.742,95.539,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,5,6,1,4,37.68,0.15,0,-77.1,-259.74,96.245,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,5,6,4,8,35.8,0.04,0,-14.21,365.539,96.245,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,5,6,8,3,29.65,0.09,0,-0.21,-151.394,96.245,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,5,6,3,7,32.21,0.03,0,-252.98,328.974,96.245,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,5,6,7,2,33.05,0.06,0,190.52,-295.31,96.245,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,5,6,4,9,37.24,0.03,0,-185.38,330.396,95.554,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,5,7,1,3,26.84,0.03,0,-73.69,-84.231,118.326,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,5,11,3,0,28.73,0.04,0,-100.66,175.294,144.146,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,5,11,0,4,34.74,0.05,0,120.61,-596.26,144.146,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,6,7,1,0,33.72,0.4,0,-159.84,5.8,113.46,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,6,7,0,2,31.37,0.14,0,38.01,-14.838,113.46,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,6,7,2,3,30.02,0.14,0,54.21,-18.069,113.46,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,6,7,3,4,31.45,0.07,0,8.45,-47.332,113.46,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,6,7,4,5,68.96,0.59,0,151.18,-415.115,113.46,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,6,7,5,8,49.91,0.31,0,-144.52,901.325,113.46,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,6,7,2,1,30.05,0,0,117.14,9.05,113.527,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,6,7,1,4,30.91,0,0,-57.43,-74.477,113.527,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,6,7,4,8,40.39,0,0,10.39,486.526,113.527,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,6,7,8,3,41.66,0,0,-17.84,-439.1,113.527,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,6,7,1,5,58.14,0.03,0,-15.52,-490.782,113.649,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,6,7,5,2,59.19,0,0,-98.98,481.738,113.649,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,6,7,2,4,31.05,0,0,59.15,-65.517,113.649,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,6,7,4,9,35.23,0.04,0,-125.47,212.406,113.649,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,6,7,9,5,52.13,0,0,139.77,-629.044,113.723,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,6,7,5,10,55.21,0.03,0,-51.68,582.926,113.723,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,6,8,2,4,28.35,0.05,0,54.46,-60.073,79.888,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,6,9,0,3,29.87,0.18,0,78.37,-36.173,68.49,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,6,13,3,0,33.71,0.07,0,-83.34,129.197,167.711,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,6,13,0,4,31.8,0.07,0,94.2,-253.924,167.711,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,6,13,0,5,47.79,0.03,0,97.53,-1016.005,170.108,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,7,0,5,58.24,0,0,65.89,1205.261,117.447,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,7,8,1,0,10.33,0,0,-297.32,0.931,95.107,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,7,8,0,2,26.6,0.14,0,31.35,-6.23,95.107,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,7,8,2,3,23.89,0.14,0,44.1,-6.028,95.107,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,7,8,3,4,21.08,0.05,0,8.1,-10.637,95.107,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,7,8,4,5,28.96,0.07,0,-17.87,-36.533,95.107,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,7,8,5,6,34.76,0.31,0,211.84,-175.403,95.107,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,7,8,6,9,31.53,0.17,0,-486.67,477.307,95.107,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,7,8,2,1,25.73,0,0,185.6,3.709,95.108,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,7,8,1,3,24.6,2.95,0,-143.1,-9.754,95.108,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,7,8,3,6,32.69,0.08,0,164.67,-222.696,95.108,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,7,8,6,10,30.61,0.05,0,-170.96,308.859,95.108,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,7,8,10,5,26.43,0.03,0,-4.94,-133.347,95.108,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,7,8,5,9,29.93,0.03,0,-249.25,302.012,95.108,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,7,8,9,4,30.06,0,0,269.95,-265.465,95.108,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,7,8,4,1,22.55,0.34,0,111.2,20.349,95.273,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,7,8,1,5,26.32,0.06,0,-133.41,-57.004,95.273,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,7,8,5,2,26.37,0.05,0,-28.19,53.304,95.273,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,7,8,2,6,32.38,0.04,0,186.29,-229.128,95.273,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,7,8,6,11,32.19,0.03,0,-404.32,284.745,95.273,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,7,8,1,6,32.25,0.03,0,23.71,-232.99,95.324,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,7,9,3,5,28.23,0.03,0,-18.3,-60.617,80.957,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,7,10,1,4,28.13,0.05,0,-86.12,-78.761,158.323,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,7,15,3,0,38.52,0.03,0,-71.4,64.097,115.571,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,7,15,0,4,34.71,0.03,0,79.56,-106.13,115.571,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,7,15,0,5,34.37,0.03,0,55.13,-205.166,115.813,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,8,9,1,0,37.69,0,0,-152.73,1.403,58.949,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,8,9,0,2,36.93,0.45,0,30.52,-3.437,58.949,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,8,9,2,3,32.37,0,0,39.69,-2.892,58.949,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,8,9,3,4,29.21,0.54,0,8.66,-4.567,58.949,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,8,9,4,5,32.64,0.25,0,-23.43,-10.207,58.949,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,8,9,5,6,25.58,0.09,0,123.06,-20.001,58.949,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,8,9,6,7,45.28,2.71,0,94.26,-141.615,58.949,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,8,9,7,10,41.83,1.31,0,-594.9,392.416,58.949,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,8,9,2,1,36.02,0,0,118.61,2.005,58.757,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,8,9,1,3,34.04,0.33,0,-80.25,-4.927,58.757,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,8,9,3,6,27.83,0.18,0,104.15,-34.706,58.757,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,8,9,6,10,40.12,0.09,0,-466.77,250.131,58.757,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,8,9,10,5,42.19,0.11,0,348.28,-230.176,58.757,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,8,9,4,1,31.66,0.12,0,68.87,9.48,58.524,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,8,9,1,5,32.24,0.17,0,-92.74,-19.665,58.524,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,8,9,5,2,31.79,0.12,0,-22.59,17.625,58.524,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,8,9,2,6,28.18,0.04,0,138.83,-37.496,58.524,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,8,9,6,11,33.25,0.07,0,-331.47,103.242,58.524,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,8,9,11,7,39.43,0.15,0,301.98,-244.871,58.524,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,8,9,7,3,40.54,0.18,0,-70.24,176.213,58.524,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,8,9,1,6,28.52,0.11,0,23.46,-39.624,58.672,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,8,9,6,2,28.18,0.03,0,-136.11,37.597,58.672,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,8,9,2,4,30.56,0.16,0,46.63,-7.474,58.672,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,8,9,4,7,40.95,0.12,0,43.05,-172.075,58.672,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,8,9,7,12,40.44,0.09,0,-77.66,220.269,58.672,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,8,9,2,7,40.39,0.1,0,77.13,-178.816,58.422,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,8,10,4,6,28.48,0.06,0,87.87,-74.107,98.092,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,8,11,2,5,34.92,0.03,0,24.82,-68.494,110.926,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,8,17,3,0,48.06,0.08,0,-68.98,39.066,81.849,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,8,17,0,4,44.35,0.06,0,76.95,-61.759,81.849,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,8,17,0,5,43.04,0.03,0,56.46,-102.074,81.072,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,9,10,1,0,47.7,0,0,-132.85,1.69,80.131,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,9,10,0,2,45.11,0,0,31.77,-3.881,80.131,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,9,10,2,3,41.87,0,0,36.81,-3.179,80.131,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,9,10,3,4,35.6,0.38,0,8.16,-4.324,80.131,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,9,10,4,5,38.39,0.24,0,-20.28,-8.16,80.131,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,9,10,5,6,26.64,0.17,0,103.06,-11.325,80.131,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,9,10,6,7,30.55,0.15,0,-64.76,-32.466,80.131,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,9,10,7,8,33.17,1.8,0,256.68,-141.016,80.131,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,9,10,8,11,38.63,0.32,0,-774.49,492.714,80.131,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,9,10,0,3,43.36,0.12,0,68.18,-7.103,81.056,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,9,10,3,1,42.3,0.67,0,62.62,5.414,81.056,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,9,10,1,2,43.07,0,0,-98.48,-2.205,81.056,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,9,10,2,4,37.93,0.33,0,43.88,-7.574,81.056,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,9,10,4,7,30.54,0.13,0,13.97,-52.523,81.056,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,9,10,7,11,41.37,0.14,0,-485.05,355.817,81.056,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,9,10,11,6,42.92,0.13,0,552.57,-322.967,81.056,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,9,10,4,1,39.32,0.19,0,54.37,9.938,81.673,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,9,10,1,5,38.87,0.13,0,-74.42,-18.247,81.673,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,9,10,5,2,38.24,0.12,0,-23.02,15.978,81.673,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,9,10,2,6,32.3,0.13,0,122.87,-27.489,81.673,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,9,10,6,3,31.34,0.11,0,-86.85,24.25,81.673,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,9,10,3,7,30.87,0.09,0,18.88,-57.327,81.673,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,9,10,7,12,34.97,0.06,0,-51.25,151.506,81.673,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,9,10,12,8,34.2,0.16,0,181.27,-296.41,81.673,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,9,10,8,13,35.19,0.17,0,-356.14,266.831,81.673,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,9,10,1,6,32.93,0.13,0,25.43,-29.757,81.759,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,9,10,6,2,32.26,0.11,0,-121.67,27.485,81.759,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,9,10,2,7,31.32,0.06,0,51.83,-60.649,81.759,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,9,10,7,3,30.88,0.04,0,-15.89,57.397,81.759,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,9,10,3,5,37.43,0.25,0,-11.67,-12.755,81.759,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,9,10,5,8,32.39,0.09,0,139.62,-189.677,81.759,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,9,10,8,4,32.61,0.09,0,-119.81,198,81.759,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,9,10,3,8,32.64,0.08,0,116.7,-202.216,81.739,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,9,11,5,7,28.91,0.16,0,26.52,-70.742,92.26,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,9,12,3,6,33.44,0.11,0,85.69,-57.481,97.216,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,9,19,3,0,55.55,0.1,0,-67.96,29.084,72.005,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,9,19,0,4,51.88,0.12,0,74.15,-44.5,72.005,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,9,19,0,5,50.77,0.06,0,58.54,-67.935,70.013,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,10,11,1,0,45.9,0,0,-122.88,3.05,206.691,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,10,11,0,2,44.37,0,0,33.37,-7.004,206.691,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,10,11,2,3,42.56,0,0,34.48,-5.555,206.691,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,10,11,3,4,36.19,0,0,5.94,-7.087,206.691,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,10,11,4,5,39.16,0.04,0,-16.56,-12.268,206.691,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,10,11,5,6,26.92,0.16,0,90.86,-14.761,206.691,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,10,11,6,7,28.32,0.04,0,-73.73,-31.048,206.691,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,10,11,7,8,19.54,0.05,0,74.25,-53.559,206.691,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,10,11,8,9,46.7,1.5,0,313.33,-512.071,206.691,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,10,11,9,12,38.97,0.63,0,-767.04,1282.011,206.691,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,10,11,0,3,43.65,0.11,0,66.57,-12.616,207.154,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,10,11,3,1,42.95,0,0,54.3,9.553,207.154,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,10,11,1,2,43.31,0,0,-87.35,-3.966,207.154,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,10,11,2,4,38.87,0.02,0,39.4,-12.713,207.154,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,10,11,4,6,31.42,0.06,0,73.37,-27.127,207.154,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,10,11,6,9,40.51,0.06,0,178.32,-600.959,207.154,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,10,11,9,5,40.02,0.05,0,-267.23,615.744,207.154,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,10,11,5,8,22.66,0.03,0,87.3,-99.629,207.154,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,10,11,8,12,35.11,0.03,0,-427.63,771.643,207.154,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,10,11,12,7,37.33,0,0,356.45,-717.976,207.154,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,10,11,4,1,39.84,0.11,0,46.48,16.712,207.58,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,10,11,1,5,39.56,0.04,0,-62.88,-29.046,207.58,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,10,11,5,2,39.07,0.05,0,-22.62,25.099,207.58,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,10,11,2,6,33.43,0.03,0,111.57,-39.887,207.58,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,10,11,6,3,32.33,0.03,0,-77.67,34.328,207.58,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,10,11,3,7,30.29,0,0,3.94,-65.517,207.58,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,10,11,4,1,39.8,0.05,0,45.88,16.726,207.921,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,10,11,1,6,34.16,0.03,0,25.62,-43.956,207.921,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,10,11,6,2,33.48,0.03,0,-110.15,40.003,207.921,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,10,11,2,7,31.01,0.04,0,36.38,-71.255,207.921,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,10,11,7,3,30.3,0.03,0,-2.68,65.65,207.921,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,10,11,3,5,38.16,0,0,-9.75,-19.543,207.921,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,10,11,3,8,24.27,0.03,0,67.71,-119.688,208.21,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,10,11,8,4,23.78,0.05,0,-63.59,112.561,208.21,500,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,10,11,4,7,29.7,0.05,0,-1.93,-58.573,208.21,500,0,0,,,,,,,,,,,,,,,,,,40
