El-array,Spa.1,Spa.2,Spa.3,Spa.4,Rho,Dev.,M,Sp,Vp,In,Time,Latitude,Longitude,,,,,,,,,,,,,,,,,,TM1
Mixed / non conventional,0,4,6,13,31.81,0,1,2.78,-283.872,187.447,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,4,13,8,39.22,0.01,1.02,-1.57,106.243,187.447,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,4,8,17,44.41,0.02,0.99,6.72,-141.632,187.447,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,4,17,9,50.51,0.02,1,-0.44,106.678,187.447,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,4,9,19,51.98,0.01,1.08,6.42,-116.067,187.447,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,4,10,21,58.36,0.02,0.41,9.51,-96.633,187.578,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,5,2,1,75.03,0.01,2.33,-22.38,-906.899,130.201,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,5,1,3,60.59,0.03,2.14,11.1,1150.871,130.201,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,5,3,7,48.07,0.32,1,-170.98,189.751,130.201,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,5,7,15,34.36,0.01,0.78,18.48,-230.546,130.201,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,5,2,4,37.35,0.53,0.53,-338.83,704.683,129.337,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,5,4,9,31.88,0.94,-0.12,196.15,-401.016,129.337,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,5,9,19,50.9,0.03,0.8,5.9,-125.823,129.337,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,5,19,6,48.57,0.01,1.24,-6.89,814.333,129.337,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,5,6,13,47.56,0.01,1.27,-2.55,-768.745,129.337,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,5,13,1,68.44,0,2.22,123.7,-1124.376,129.337,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,5,1,7,58.43,0.01,1.99,-155.07,1331.733,129.337,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,5,7,8,26.35,0.06,0.96,31.39,-80.712,129.337,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,5,8,17,43.07,0.01,0.96,5.2,-162.959,129.337,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,5,10,21,57.83,0.07,1.55,8.85,-100.943,128.85,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,5,21,11,64.87,0.11,1.72,-10.34,80.979,128.85,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,5,11,23,66.54,0.05,1.32,12.63,-86.893,128.85,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,2,3,4,59.44,0.22,0.75,-266.46,-289.855,91.92,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,2,4,5,30.15,72.7,-45.21,201.45,-36.752,91.92,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,2,5,6,29.48,152.26,47.56,-57.24,-14.375,91.92,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,2,6,7,29.95,0.81,0.93,-31.34,-7.302,91.92,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,2,7,8,25.48,0.25,0.55,31.75,-3.55,91.92,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,2,8,9,36.17,0.88,2.36,5.61,-3.15,91.92,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,2,9,10,43.4,0.62,-0.02,3.05,-2.519,91.92,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,2,10,11,42.99,0.64,-0.13,-0.62,-1.747,91.92,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,2,11,12,54.26,3.68,0.78,15.36,-1.604,91.92,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,2,12,13,48.47,2.86,4.83,-20.55,-1.074,91.92,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,2,13,14,67.29,44.62,-34.41,1.46,-1.146,91.776,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,2,14,15,73.88,57.78,39.59,-15.92,-0.988,91.776,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,2,15,16,80.28,9.72,1.88,-4.3,-0.859,91.776,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,2,16,17,73.28,9.25,-3.39,23.18,-0.637,91.776,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,2,17,18,66.98,11.43,-10.67,-0.21,-0.48,91.776,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,2,18,19,82.78,2.21,-13.99,6.62,-0.494,91.776,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,2,19,20,85.47,8.31,20.42,-7.57,-0.429,91.776,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,2,20,21,75.44,34.72,-25.73,14.68,-0.322,91.776,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,2,21,22,89.95,21.54,-11.41,9.86,-0.329,91.776,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,2,22,23,99.67,7.53,-38.85,-7.43,-0.315,91.776,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,3,5,7,26.8,0.15,0.63,-81.6,-81.654,114.878,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,3,7,8,24.5,0.03,2.78,31.44,-11.73,114.878,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,3,8,9,33.95,0.1,0.43,5.76,-9.607,114.878,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,3,9,10,42.7,0.12,2.17,3.08,-7.745,114.878,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,3,10,11,42.83,0.26,0.59,-0.72,-5.282,114.878,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,3,11,12,55.66,0.41,4.17,15.58,-4.882,114.878,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,3,12,13,49.16,2.21,4.04,-20.73,-3.178,114.878,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,3,13,14,69.83,0.91,1.01,1.92,-3.423,114.878,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,3,14,15,76.76,0.2,-5.99,-15.48,-2.921,114.878,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,3,15,16,81.75,3.91,4.81,-4.4,-2.464,114.878,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,3,16,17,77.29,15.59,8.44,22.67,-1.876,114.85,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,3,17,18,68.58,15.82,-1.87,-0.47,-1.361,114.85,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,3,18,19,91.95,5.65,2.53,6.85,-1.511,114.85,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,3,19,20,88.47,2.08,7.09,-7.76,-1.217,114.85,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,3,20,21,81.22,3.38,2.7,14.65,-0.945,114.85,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,3,21,22,89.43,6.09,12.4,9.96,-0.888,114.85,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,3,22,23,113.17,7.35,3.28,-7.59,-0.966,114.85,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,3,23,2,623.85,0,-299.99,35.6,-51.834,114.85,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,4,3,2,50.99,1.85,1.92,-63.75,-1174.207,144.692,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,4,2,20,57.61,0.07,1.94,-197.84,676.459,144.692,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,4,20,19,87.55,1.66,1,8.4,2.506,144.692,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,4,19,18,89.68,2.58,-0.34,-6.35,3.085,144.692,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,4,18,17,67.02,1.48,5.56,0.38,2.806,144.692,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,4,17,16,76.07,1.87,0.26,-22.61,3.93,144.692,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,4,16,15,80.08,0.88,-0.56,4.79,5.189,144.692,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,4,15,14,73.75,1.36,-1.12,16.05,6.108,144.692,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,4,14,13,66.72,0.81,0.45,-1.46,7.223,144.692,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,4,13,12,46.7,1.32,0.84,21.18,6.79,144.692,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,4,5,6,37.51,0.06,0.66,-53.87,-389.195,144.888,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,4,6,7,30.88,0.14,2.06,-29.99,-94.958,144.888,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,4,7,8,22.58,0.07,0.62,32.69,-30.998,144.888,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,4,8,9,31.64,0.1,0.59,5.37,-23.451,144.888,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,4,9,10,39.24,0.18,1.69,3.66,-17.593,144.888,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,4,10,11,39.8,0.23,1.04,-0.46,-11.654,144.888,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,4,11,12,51.62,0.23,1.24,15.7,-10.435,144.888,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,4,12,13,46.63,0.51,1.83,-20.48,-6.788,144.888,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,4,13,14,66.7,0.16,1.19,1.9,-7.23,144.888,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,4,14,15,73.75,1.05,3.38,-15.41,-6.116,144.888,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,4,7,10,28.13,0.1,0.49,40.63,-72.203,145.12,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,4,10,11,39.85,0.46,2.99,-0.89,-11.687,145.12,1000,0,0,,,,,,,,,,,,,,,,,,40
