El-array,Spa.1,Spa.2,Spa.3,Spa.4,Rho,Dev.,M,Sp,Vp,In,Time,Latitude,Longitude,,,,,,,,,,,,,,,,,,TM1
Mixed / non conventional,0,2,13,14,70.48,0.03,5.51,-2.51,-3.021,129.391,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,2,14,15,70.89,0.81,4.38,9.25,-2.406,129.391,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,2,15,16,90,6.75,-0.33,-18.53,-2.463,129.495,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,2,16,17,67.87,13.1,-5.7,44.74,-1.518,129.495,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,2,17,18,68.02,6.41,-2.01,-15.79,-1.26,129.495,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,2,18,19,94.16,3.82,-8.62,-32.21,-1.46,129.495,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,2,19,20,100.41,4.1,-19.8,15.4,-1.317,129.495,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,2,20,21,76.76,16.72,-16.82,15.81,-0.859,129.495,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,2,21,22,104.09,1.03,-7.48,-1.7,-1.002,129.495,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,2,22,23,77.27,8.76,-34.76,-7.93,-0.644,129.495,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,3,1,2,44.93,2.95,1.51,56.77,714.378,99.895,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,3,2,5,68.29,9.95,3.17,-208.48,-217.144,99.895,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,3,5,11,34.25,0.01,0.75,-14.18,-144.779,99.895,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,3,11,10,45.04,1.29,0.78,21.15,6.278,99.895,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,3,10,9,53.46,0.27,0.47,1.75,10.794,99.895,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,3,9,4,52.5,0.03,0.57,-0.15,579.648,99.895,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,3,9,6,28.55,0.28,1.15,7.4,50.021,99.072,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,3,6,13,33.85,0.08,1.07,-30.09,-76.64,99.072,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,3,13,12,51.96,0.9,1.57,14.23,3.851,99.072,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,3,12,11,57.67,0.04,-1.55,-14.36,5.741,99.072,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,3,11,23,70.64,0.11,1.44,5.67,-30.706,99.072,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,3,23,22,78.98,8.71,-28.68,8.75,0.816,99.072,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,3,22,21,106.39,2.24,-3.73,2.1,1.274,99.072,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,3,21,10,63.28,0.07,1.01,5.8,34.842,99.072,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,3,10,7,33.74,0.18,0.89,16.58,34.204,99.072,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,3,7,15,40.19,0.32,1.03,-29.49,-57.339,99.072,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,3,8,17,49.74,0.25,1.17,27.97,-48.732,98.651,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,3,17,16,71.25,5.9,2.68,-45.29,2.034,98.651,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,3,16,15,91.45,0.23,1.6,19.62,3.221,98.651,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,3,15,14,71.94,0.66,-7.19,-10.01,3.178,98.651,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,3,14,13,71.49,0.44,4.74,2.95,4.037,98.651,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,3,13,9,51.94,0.1,0.13,22.48,26.487,98.651,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,3,9,19,59.29,0.02,1.24,-37.55,-42.529,98.651,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,3,19,18,97.62,3.31,-6.02,32.71,1.905,98.651,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,3,17,18,70.35,0.49,-34.65,-16.47,-1.647,98.451,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,3,18,19,97.09,3.01,36.2,-32.8,-1.891,98.451,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,3,19,20,103.19,0.72,1.67,15.75,-1.689,98.451,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,3,20,21,80.35,6.65,-2.64,15.62,-1.117,98.451,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,4,2,1,38.74,0.07,1,52.3,-365.108,88.828,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,4,1,3,47.27,3.15,2.72,-93.68,891.061,88.828,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,4,3,7,62.23,6.67,4.59,5.84,-418.933,88.828,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,4,7,15,35.22,0.07,0.87,-28.58,-82.78,88.828,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,4,3,2,55.43,0.07,1.11,54.98,-520.84,88.557,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,4,2,5,46.23,0.04,0.71,-55.71,521.268,88.557,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,4,5,1,42.83,0.01,0.7,106.42,-885.428,88.557,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,4,3,2,55.44,0.02,1,50.87,-520.124,88.428,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,4,2,5,46.24,0.03,0.64,-53.61,520.58,88.428,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,4,5,11,45.01,0,0.58,-13.9,-473.912,88.428,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,4,11,23,67.06,0.03,1.61,6.29,-40.388,88.428,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,4,23,6,33.88,0.02,0.8,24.24,154.591,88.428,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,4,6,13,30.21,0.01,0.91,-28.56,-127.182,88.428,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,4,13,8,39.98,0.09,0.55,4.97,51.103,88.428,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,4,8,17,44.88,0.09,1.03,28.88,-67.522,88.428,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,4,17,9,53.42,0.09,0.73,-11.2,53.217,88.428,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,4,9,19,54.86,0.05,1.45,-37.07,-57.797,88.428,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,4,10,21,59.26,0.14,2.04,-5.31,-46.197,88.318,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,5,2,1,39.82,0,0.83,45.35,-441.392,119.409,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,5,1,3,38.39,0.01,0.87,-90.79,668.804,119.409,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,5,3,7,31.34,0.02,0.8,16.87,113.453,119.409,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,5,7,15,30.91,0.03,0.89,-27.86,-190.243,119.409,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,5,2,4,44.22,0.38,0.76,-146.31,770.585,119.439,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,5,4,9,45.25,0.56,0.6,103.78,-525.708,119.439,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,5,9,19,50.69,0.06,1.1,-36.77,-115.729,119.439,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,5,19,6,35.16,0.03,0.7,43.7,544.444,119.439,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,5,6,13,33.81,0,0.64,-27.99,-504.7,119.439,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,5,13,1,40.24,0.02,0.82,107.52,-610.438,119.439,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,5,1,7,37.18,0,0.84,-70.77,782.509,119.439,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,5,7,8,22.14,0.1,0.69,-31.29,-62.639,119.439,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,5,8,17,40.23,0.02,0.83,29.02,-140.595,119.439,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,5,10,21,55.43,0.02,1.4,-5.36,-89.716,119.483,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,5,21,11,62.31,0.02,1.21,-17.29,72.128,119.483,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,0,5,11,23,63.69,0.05,1.21,6.79,-77.129,119.483,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,2,3,4,56.95,0.09,-0.06,-54.39,-361.457,119.637,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,2,4,5,29.49,42.19,-25.9,38.93,-46.792,119.637,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,2,5,6,31.65,83.61,40.86,21.66,-20.088,119.637,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,2,6,7,25.67,0.41,0.6,7.73,-8.146,119.637,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,2,7,8,25.42,1.34,-0.25,-31.47,-4.61,119.637,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,2,8,9,29.69,1.02,-2.24,17.5,-3.365,119.637,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,2,9,10,50.01,0.73,-1.23,-1.03,-3.779,119.637,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,2,10,11,40.88,3.59,4.72,-22.07,-2.162,119.637,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,2,11,12,52.85,1.47,-0.64,15.96,-2.033,119.637,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,2,12,13,48.66,7.4,-1.72,-13.72,-1.404,119.637,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,2,13,14,65.7,6.99,-2.54,-2.87,-1.461,119.851,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,2,14,15,66.01,14.27,4.75,10.92,-1.153,119.851,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,2,15,16,84.01,10.58,5.56,-19.6,-1.174,119.851,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,2,16,17,64.31,17.75,-5.94,45.25,-0.73,119.851,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,2,17,18,63.53,10.11,13.06,-16.13,-0.594,119.851,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,2,18,19,90.04,18.4,2.66,-32.14,-0.702,119.851,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,2,19,20,95.99,6.76,1.42,15.54,-0.63,119.851,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,2,20,21,69.33,45.23,22.57,15.85,-0.387,119.851,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,2,21,22,97.33,17.51,8.18,-1.65,-0.465,119.851,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,2,22,23,71.12,27.51,-15.05,-8.58,-0.294,119.851,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,3,5,7,33.99,0.12,0.74,24.3,-82.914,91.956,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,3,7,8,25.82,0.7,2.12,-32.13,-9.897,91.956,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,3,8,9,30.53,0.25,0.07,17.6,-6.915,91.956,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,3,9,10,51.77,0.19,1.29,-1.19,-7.516,91.956,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,3,10,11,43.64,0.25,-1.88,-22.55,-4.309,91.956,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,3,11,12,56.07,1.92,-0.19,16.38,-3.937,91.956,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,3,12,13,50.91,0.87,-3.82,-13.94,-2.634,91.956,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,3,13,14,69.36,1.6,-2.02,-2.43,-2.721,91.956,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,3,14,15,70.51,2.65,-9.31,11.47,-2.148,91.956,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,3,15,16,89.66,5.61,-2.85,-19.9,-2.163,91.956,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,3,16,17,69.42,7.45,12.93,45.07,-1.346,91.755,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,3,17,18,69.58,3.95,-14.05,-16.68,-1.103,91.755,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,3,18,19,96,1.95,6.5,-32.01,-1.26,91.755,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,3,19,20,102.27,6.07,7.06,15.41,-1.124,91.755,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,3,20,21,78.56,3.95,-9.69,15.77,-0.73,91.755,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,3,21,22,106.52,2.39,-12.36,-1.63,-0.845,91.755,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,3,22,23,79.75,17.53,-0.66,-8.84,-0.544,91.755,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,3,23,2,306.57,0,-299.99,21.19,-20.35,91.755,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,4,3,2,57.44,2.74,1.62,-138.38,-761.986,83.354,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,4,2,20,52.97,0.36,0.72,-101.89,358.299,83.354,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,4,20,19,100.31,3.69,-2.81,-14.86,1.654,83.354,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,4,19,18,92.47,1.7,-3.1,32.61,1.833,83.354,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,4,18,17,67.07,4.29,-3.57,16.61,1.618,83.354,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,4,17,16,66.86,7.16,-4.72,-44.86,1.99,83.354,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,4,16,15,85.32,2.15,-0.85,20.55,3.185,83.354,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,4,15,14,66.64,3.64,-6.85,-11.11,3.179,83.354,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,4,14,13,65.89,0.4,2.15,2.94,4.109,83.354,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,4,13,12,47.8,2.44,-3.32,14.49,4.004,83.354,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,4,5,6,55.55,0.01,0.54,5.13,-331.799,83.394,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,4,6,7,26.52,0.11,0.63,7.33,-46.935,83.394,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,4,7,8,22.76,0.2,0.41,-31.26,-17.983,83.394,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,4,8,9,27.12,0.11,-0.07,17.24,-11.568,83.394,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,4,9,10,46.98,0.03,0.92,-0.97,-12.125,83.394,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,4,10,11,39.93,0.22,1.83,-22.95,-6.729,83.394,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,4,11,12,52.29,0.35,-0.22,16.89,-6.084,83.394,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,4,12,13,47.85,0.61,0.26,-13.86,-4.01,83.394,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,4,13,14,65.63,0.42,2.71,-2.52,-4.095,83.394,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,4,14,15,67.52,0.51,-3.03,11.83,-3.223,83.394,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,4,7,10,28.23,0.1,0.53,-15.8,-41.6,83.336,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,4,10,11,39.97,0.64,0.75,-23.7,-6.732,83.336,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,4,11,12,52.34,0.17,-1.01,17.37,-6.085,83.336,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,4,12,15,58.51,0.52,1.25,-5.25,-11.339,83.336,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,4,15,16,85.92,1.02,-4.03,-20.27,-3.207,83.336,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,4,16,17,66.4,1.83,4.55,45.5,-1.976,83.336,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,4,17,18,67.08,4.12,11.96,-16.2,-1.618,83.336,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,4,18,19,93.96,1.92,-6.44,-32.22,-1.862,83.336,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,4,19,20,99.03,4.52,-2.82,15.59,-1.632,83.336,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,4,20,21,77.52,1.54,-15.9,15.87,-1.074,83.336,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,4,20,21,79.54,10.02,22.49,15.47,-1.103,83.356,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,4,21,22,103.45,4.84,-10.88,-2.31,-1.217,83.356,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,4,22,23,76.74,3.82,-0.81,-8.66,-0.773,83.356,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,4,23,2,12.68,0,-299.99,188.56,-85.329,83.356,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,5,2,3,48.58,0,0.88,62.31,567.968,110.196,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,5,3,4,47.43,4.5,2.25,135.45,554.553,110.196,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,5,4,6,-27.73,37.93,13.7,-241.85,-64.844,110.196,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,5,6,7,36.81,0,0.56,8.85,-301.257,110.196,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,5,7,8,21.71,0.04,1.03,-31.34,-54.398,110.196,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,5,8,9,24.62,0.19,0.62,17.57,-28.277,110.196,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,5,9,10,43.08,0.15,0.79,-0.87,-27.284,110.196,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,5,10,11,36.93,0.15,0.44,-23.4,-14.392,110.196,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,5,11,12,48.97,0.61,-0.35,17.5,-12.642,110.196,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,5,12,13,45.04,0.5,0.31,-13.85,-8.122,110.196,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,5,13,14,62.98,1.45,4.84,-2.89,-8.263,110.22,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,5,14,15,64.4,0.89,-3.29,11.47,-6.345,110.22,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,5,15,16,83.71,0.05,1.91,-20.19,-6.357,110.22,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,5,16,17,65.6,0.46,3.66,45.26,-3.923,110.22,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,5,17,18,65.67,1.52,3.42,-16.19,-3.149,110.22,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,5,18,19,92.38,0.84,-1.14,-32.26,-3.608,110.22,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,5,19,20,98.57,0.52,3.51,15.59,-3.178,110.22,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,5,20,2,48.27,0.01,0.68,70.27,-576.394,110.22,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,5,20,21,78.64,5.5,-1.34,15.41,-2.119,110.313,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,6,2,3,49.71,0.02,0.88,49.58,527.485,114.295,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,6,3,4,32.49,0.24,0.43,-3.25,196.978,114.295,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,6,4,5,36.9,8.13,4.02,162.1,391.557,114.295,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,6,5,7,75.33,29.15,-12.45,-244.83,114.192,114.295,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,6,7,8,37.62,0,0.62,-29.53,-325.888,114.295,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,6,8,9,26.72,0.07,0.33,17.9,-72.332,114.295,1000,0,0,,,,,,,,,,,,,,,,,,40
Mixed / non conventional,1,6,9,10,43.4,0.08,0.95,-0.54,-54.825,114.295,1000,0,0,,,,,,,,,,,,,,,,,,40
