   72       1      12       9      15        1.95000
   73       1      12       9      16        0.96000
   74       1      12       9      17        0.55000
   75       1      12       9      18        0.35000
   76       1      12       9      19        0.26000
   77       1      12       9      20        0.22000
   78       1      12       9      21        0.20000
   79       1      12      10      13        8.22000
   80       1      12      10      14        3.71000
   81       1      12      10      15        1.93000
   82       1      12      10      16        0.94000
   83       1      12      10      17        0.54000
   84       1      12      10      18        0.33000
   85       1      12      10      19        0.24000
   86       1      12      10      21        0.18000
   87       1      12      10      22        0.17000
   88       1      12      11      13        8.21000
   89       1      12      11      14        3.70000
   90       1      12      11      15        1.92000
   91       1      12      11      16        0.93000
   92       1      12      11      17        0.52000
   93       1      12      11      18        0.32000
   94       1      12      11      19        0.23000
   95       1      12      11      21        0.17000
   96       2      13       3      14       22.36000
   97       2      13       3      15       15.62000
   98       2      13       3      16       13.24000
   99       2      13       3      17       12.39000
  100       2      13       3      18       12.01000
  101       2      13       3      19       11.85000
  102       2      13       3      20       11.79000
  103       2      13       3      21       11.75000
  104       2      13       3      22       11.72000
  105       2      13       4      14       14.70000
  106       2      13       4      15        7.96000
  107       2      13       4      16        5.59000
  108       2      13       4      17        4.73000
  109       2      13       4      18        4.36000
  110       2      13       4      19        4.19000
  111       2      13       4      20        4.13000
  112       2      13       4      21        4.10000
  113       2      13       4      22        4.07000
  114       2      13       5      14       12.31000
  115       2      13       5      15        5.57000
  116       2      13       5      16        3.20000
  117       2      13       5      17        2.35000
  118       2      13       5      18        1.97000
  119       2      13       5      19        1.81000
  120       2      13       5      20        1.75000
  121       2      13       5      21        1.71000
  122       2      13       5      22        1.68000
  123       2      13       6      14       11.26000
  124       2      13       6      15        4.52000
  125       2      13       6      16        2.15000
  126       2      13       6      17        1.30000
  127       2      13       6      18        0.92000
  128       2      13       6      19        0.75000
  129       2      13       6      20        0.69000
  130       2      13       6      21        0.66000
  131       2      13       6      22        0.63000
  132       2      13       7      14       10.97000
  133       2      13       7      15        4.24000
  134       2      13       7      16        1.87000
  135       2      13       7      17        1.01000
  136       2      13       7      18        0.63000
  137       2      13       7      19        0.47000
  138       2      13       7      20        0.41000
  139       2      13       7      21        0.37000
  140       2      13       7      22        0.35000
  141       2      13       8      14       10.91000
  142       2      13       8      15        4.17000
  143       2      13       8      16        1.80000
  144       2      13       8      17        0.94000
  145       2      13       8      18        0.56000
  146       2      13       8      19        0.40000
  147       2      13       8      20        0.34000
  148       2      13       8      21        0.30000
  149       2      13       8      22        0.28000
  150       2      13       9      14       10.87000
  151       2      13       9      15        4.14000
  152       2      13       9      16        1.77000
  153       2      13       9      17        0.91000
  154       2      13       9      18        0.53000
  155       2      13       9      19        0.37000
  156       2      13       9      20        0.31000
  157       2      13       9      21        0.27000
  158       2      13       9      22        0.24000
  159       2      13      10      14       10.84000
  160       2      13      10      15        4.11000
  161       2      13      10      16        1.74000
  162       2      13      10      17        0.88000
  163       2      13      10      18        0.50000
  164       2      13      10      19        0.34000
  165       2      13      10      20        0.28000
  166       2      13      10      21        0.24000
  167       2      13      10      22        0.22000
  168       2      13      11      14       10.82000
  169       2      13      11      15        4.09000
  170       2      13      11      16        1.72000
  171       2      13      11      17        0.86000
  172       2      13      11      18        0.48000
  173       2      13      11      19        0.32000
  174       2      13      11      20        0.26000
  175       2      13      11      21        0.22000
