,El-array,xA (m),xB (m),xM (m),xN (m),Rho (Ohm.m),Dev. Rho (%),SP (mV),VMN (mV),IAB (mA),Time (ms),Coef. k (m),yA (m),yB (m),yM (m),yN (m),zA (m),zB (m),zM (m),zN (m),N° electrode A,N° electrode B,N° electrode M,N° electrode N,Depth A (m),Depth B (m),Depth M (m),Depth N (m),Stack,Rs-Check,Vab (V),Pab (W),Rab (kOhm),Latitude,Longitude,UTM (WSG84),Name,Channel,Overload,Tx-Bat (V),Tx Temp. (°C),Rx-Bat (V),Rx Temp. (°C),Date,Gapfiller,Synch
,Mixed / non conventional,4.00,13.00,7.00,10.00,9.81,0.19,104.23,15.842,30.426,500,18.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5,14,8,11,0.00,0.00,0.00,0.00,3,0.000,37,1,1.229,00.000000,00.000000,,22080202,1,0,12.10,0.0,12.44,25.5,8/2/2022 10:21:29 AM,0,1
,Mixed / non conventional,5.00,14.00,8.00,11.00,9.68,1.74,141.84,5.780,11.260,500,18.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6,15,9,12,0.00,0.00,0.00,0.00,6,0.000,332,4,29.500,00.000000,00.000000,,22080202,1,0,11.98,0.0,12.41,26.0,8/2/2022 10:21:34 AM,0,1
,Mixed / non conventional,6.00,15.00,9.00,12.00,20.76,0.81,251.02,12.367,11.229,500,18.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7,16,10,13,0.00,0.00,0.00,0.00,3,0.000,270,3,24.015,00.000000,00.000000,,22080202,1,0,12.01,0.0,12.39,26.0,8/2/2022 10:21:37 AM,0,1
,Mixed / non conventional,0.00,12.00,4.00,8.00,11.93,0.17,-21.12,14.977,31.552,500,25.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,13,5,9,0.00,0.00,0.00,0.00,3,0.000,19,1,0.613,00.000000,00.000000,,22080202,1,0,12.10,0.0,12.44,26.0,8/2/2022 10:21:41 AM,0,1
,Mixed / non conventional,1.00,13.00,5.00,9.00,8.62,0.25,-157.40,16.659,48.565,500,25.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,14,6,10,0.00,0.00,0.00,0.00,3,0.000,56,3,1.162,00.000000,00.000000,,22080202,1,0,12.04,0.0,12.39,26.0,8/2/2022 10:21:44 AM,0,1
,Mixed / non conventional,2.00,14.00,6.00,10.00,11.43,0.97,158.23,3.675,8.084,500,25.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,15,7,11,0.00,0.00,0.00,0.00,3,0.000,377,3,46.633,00.000000,00.000000,,22080202,1,0,11.98,0.0,12.44,25.5,8/2/2022 10:21:47 AM,0,1
,Mixed / non conventional,3.00,15.00,7.00,11.00,13.10,19.35,21.60,7.420,14.240,500,25.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4,16,8,12,0.00,0.00,0.00,0.00,6,0.000,725,10,50.896,00.000000,00.000000,,22080202,1,0,11.89,0.0,12.37,26.0,8/2/2022 10:21:53 AM,0,1
,Mixed / non conventional,1.00,2.00,0.00,3.00,20.38,6.13,-74.99,135.036,41.622,500,6.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,3,1,4,0.00,0.00,0.00,0.00,6,0.000,1,0,0.034,00.000000,00.000000,,22080202,1,0,12.07,0.0,12.41,26.0,8/2/2022 10:21:58 AM,0,1
,Mixed / non conventional,2.00,3.00,1.00,4.00,20.29,5.24,32.19,125.254,38.792,500,6.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3,4,2,5,0.00,0.00,0.00,0.00,6,0.000,2,0,0.039,00.000000,00.000000,,22080202,1,0,12.10,0.0,12.39,25.5,8/2/2022 10:22:03 AM,0,1
,Mixed / non conventional,3.00,4.00,2.00,5.00,19.87,3.86,150.61,130.201,41.172,500,6.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4,5,3,6,0.00,0.00,0.00,0.00,6,0.000,1,0,0.036,00.000000,00.000000,,22080202,1,0,12.10,0.0,12.41,26.0,8/2/2022 10:22:09 AM,0,1
,Mixed / non conventional,4.00,5.00,3.00,6.00,27.72,0.69,117.49,198.966,45.091,500,6.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5,6,4,7,0.00,0.00,0.00,0.00,4,0.000,1,0,0.031,00.000000,00.000000,,22080202,1,0,12.07,0.0,12.41,26.0,8/2/2022 10:22:12 AM,0,1
,Mixed / non conventional,5.00,6.00,4.00,7.00,16.31,7.73,-73.70,117.182,45.144,500,6.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6,7,5,8,0.00,0.00,0.00,0.00,6,0.000,1,0,0.031,00.000000,00.000000,,22080202,1,0,12.10,0.0,12.41,26.0,8/2/2022 10:22:18 AM,0,1
,Mixed / non conventional,6.00,7.00,5.00,8.00,10.12,4.60,-63.30,71.259,44.241,500,6.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7,8,6,9,0.00,0.00,0.00,0.00,6,0.000,1,0,0.032,00.000000,00.000000,,22080202,1,0,12.10,0.0,12.39,26.0,8/2/2022 10:22:23 AM,0,1
