time,a,b,m,n,injection_duration_[ms],vmn_[mV],vmn_std_[%],iab_[mA],iab_std_[%],r_[Ohm],r_std_[%],rab_[kOhm],sp_[mV],nb_stack,vab_[V],channel_mn,injection_id,battery_voltage_tx_[V],s_samples,strategy,cmd_id
2025-08-25T23:19:12.644310,20,26,22,24,500.0,1915.1820085390614,0.4992867207132384,3.4680380639097748,4.421462854671345,553.3237540052455,4.47893848361644,11.533898781637088,-69.33213569518716,2,40.0,0,37,11.95,133,safe,
2025-08-25T23:19:19.048489,21,27,23,25,500.0,1747.5274038461541,0.7002365573146007,3.541807692307692,3.3435200188554406,493.92556212221825,3.256615057360058,11.293667944443841,-88.38401100852275,2,40.0,0,38,11.95,130,safe,
2025-08-25T23:19:25.871393,22,28,24,26,500.0,1379.3492742534484,0.7993807764214496,3.0022113549618323,4.520283182222985,460.36618598127376,4.507952376862514,13.323512328301259,-20.00492720170456,2,40.0,0,39,11.95,131,safe,
2025-08-25T23:19:32.263604,23,29,25,27,500.0,1835.6865671641792,0.5431290503809656,4.138909748134329,2.285974972584242,443.73987275109226,2.2402754917132164,9.664380823483905,32.72017045454544,2,40.0,0,40,11.95,134,safe,
2025-08-25T23:19:38.662499,24,30,26,28,500.0,1725.4763573790765,0.5536261548943278,5.143937969924812,1.8392157629730834,335.54758426763124,1.8469878161517188,7.776143537085591,-39.98053141711233,2,40.0,0,41,11.95,133,safe,
2025-08-25T23:19:45.417658,25,31,27,29,500.0,1427.0042613636363,0.4350245583659461,4.156704545454545,3.5118090824932335,343.72066411624564,3.503656421543401,9.623007736679517,-398.9815340909091,2,40.0,0,42,11.95,132,safe,
2025-08-25T23:19:51.875203,1,10,4,7,500.0,1427.5426136363637,0.4380298147739755,2.846342329545455,5.108147307802714,502.83238835032006,5.080626773903587,14.05312340149464,28.326704545454504,2,40.0,0,43,11.95,132,safe,
2025-08-25T23:19:58.672695,2,11,5,8,500.0,2501.7301136363635,0.4598275344131256,3.868194839015152,4.422360553499814,648.0155588477369,4.474320337383052,10.340740749807747,-65.28693181818164,2,40.0,0,44,11.95,132,safe,
2025-08-25T23:20:05.158699,3,12,6,9,500.0,1972.1107954545455,0.3163543795842204,3.196506865530303,4.104660840836462,617.9977437704337,4.115717275539208,12.513659967804879,-41.03125000000006,2,40.0,0,45,11.95,132,safe,
2025-08-25T23:20:11.964315,4,13,7,10,500.0,1599.2500000000005,0.5480482569660893,3.661857244318182,3.368826361981458,437.2139467927585,3.321631728364927,10.92341872749542,-161.48863636363637,2,40.0,0,46,11.95,132,safe,
2025-08-25T23:20:18.439818,5,14,8,11,500.0,1406.4786931818182,0.6036031214172876,3.6629332386363633,4.4239396435618294,384.71784853578936,4.401520474316717,10.920209950343294,-140.41903409090912,2,40.0,0,47,11.95,132,safe,
2025-08-25T23:20:25.240862,6,15,9,12,500.0,589.4460227272727,0.9968803246623946,1.6333197206439394,6.803344388293236,362.6157735378465,7.108398078272081,24.49000002536547,-74.59943181818176,2,40.0,0,48,11.95,132,safe,
2025-08-25T23:20:31.719312,17,26,20,23,500.0,1397.3139204545455,0.5684842995637689,2.9008132102272732,5.411956319438285,483.10099629586375,5.410911763166367,13.789236707476961,60.39346590909088,2,40.0,0,49,11.95,132,safe,
2025-08-25T23:20:38.533046,18,27,21,24,500.0,1959.142045454546,0.526684437055435,3.6206025094696974,4.793463973270457,542.3462954796053,4.797920707528572,11.047884957097574,46.70454545454544,2,40.0,0,50,11.95,132,safe,
2025-08-25T23:20:45.002419,19,28,22,25,500.0,2125.678977272727,0.4369198197891446,3.641811079545455,3.915675230069617,584.5714953382117,3.891306323603231,10.983546133038981,-74.8607954545455,2,40.0,0,51,11.95,132,safe,
2025-08-25T23:20:51.817033,20,29,23,26,500.0,1261.2130681818182,0.6108140008118801,2.8436848958333334,4.829549137332726,444.57897736707093,5.020345383850464,14.066256095606585,-138.74999999999994,2,40.0,0,52,11.95,132,safe,
2025-08-25T23:20:58.285531,21,30,24,27,500.0,1409.612215909091,0.6436883667439192,3.670767045454546,4.828604288642001,384.8986050973916,4.8282762559496994,10.8969050622625,-156.81392045454544,2,40.0,0,53,11.95,132,safe,
2025-08-25T23:21:05.096973,22,31,25,28,500.0,904.4090909090909,0.6790052213517427,2.5587582859848483,4.3744326616195925,354.11849788856324,4.327840222516291,15.632582498742853,-96.49431818181816,2,40.0,0,54,11.95,132,safe,
2025-08-25T23:21:11.576413,1,13,5,9,500.0,1331.6519886363637,0.47026509819992185,1.8313677793560608,6.634058928655714,730.2822494550335,6.534828948034382,21.841598640588,-161.21732954545456,2,40.0,0,55,11.95,132,safe,
2025-08-25T23:21:18.385861,2,14,6,10,500.0,2334.1789772727275,0.41034202622447974,3.8023413825757575,3.3398526892612743,614.5415187156184,3.251457541331307,10.519833958965425,-172.190340909091,2,40.0,0,56,11.95,132,safe,
2025-08-25T23:21:24.857254,3,15,7,11,500.0,1454.0326704545455,0.48239605243386696,3.237942708333333,3.7955360447948956,449.6951015378455,3.753152417627749,12.353523086450535,-139.4673295454545,2,40.0,0,57,11.95,132,safe,
2025-08-25T23:21:31.653957,17,29,21,25,500.0,1140.8948863636363,0.6402455410495981,1.6266311553030302,8.96083651907074,707.0038180596274,8.940821998134085,24.590700768022778,-124.8125,2,40.0,0,58,11.95,132,safe,
2025-08-25T23:21:38.138012,18,30,22,26,500.0,1827.2130681818178,0.5367008455954705,3.029243607954546,4.197357266209012,604.2333084681165,4.152739461975111,13.20461645770689,-186.32386363636363,2,40.0,0,59,11.95,132,safe,
2025-08-25T23:21:44.952261,19,31,23,27,500.0,1348.330965909091,0.40922431989972013,3.020494791666667,5.015168580975936,447.52819278319834,5.079373223289644,13.242863424349279,-109.453125,2,40.0,0,60,11.95,132,safe,
2025-08-25T23:21:51.421188,1,14,6,10,500.0,1091.1164772727273,0.4777944719644081,1.8634398674242425,6.20582166928155,587.8372132523999,6.338573074343953,21.46567791065369,-126.45454545454547,2,40.0,0,61,11.95,132,safe,
2025-08-25T23:21:58.225894,2,15,7,11,500.0,1547.0213068181822,0.48031244134333007,3.5997739109848483,3.268017028764847,430.21359004299893,3.2977046930767475,11.111808960540122,-128.62926136363643,2,40.0,0,62,11.95,132,safe,
2025-08-25T23:22:04.698071,17,30,22,26,500.0,964.9019886363636,0.6092807701762835,1.6608741714015152,6.94428301790502,583.7723973534534,6.996802256741029,24.083702840803603,-138.56676136363632,2,40.0,0,63,11.95,132,safe,
