General array with IP
 1.0
 11
0
Type of measurement (0=app. resistivity,1=resistance)
 0
228
1
1
Chargeability
mV/V
0.0,1.0
4       4.00 0.00       3.00 0.00      10.00 0.00      11.00 0.00     29.614    58.6769
4       5.00 0.00       4.00 0.00      11.00 0.00      12.00 0.00     29.871    59.2404
4       6.00 0.00       5.00 0.00      12.00 0.00      13.00 0.00     30.255    60.0161
4       7.00 0.00       6.00 0.00      13.00 0.00      14.00 0.00     30.844    61.0815
4       8.00 0.00       7.00 0.00      14.00 0.00      15.00 0.00     31.761    62.5949
4       9.00 0.00       8.00 0.00      15.00 0.00      16.00 0.00     33.188    64.6982
4      10.00 0.00       9.00 0.00      16.00 0.00      17.00 0.00     34.241    67.1829
4      11.00 0.00      10.00 0.00      17.00 0.00      18.00 0.00     26.442    55.4848
4      12.00 0.00      11.00 0.00      18.00 0.00      19.00 0.00     19.697    34.8170
4      13.00 0.00      12.00 0.00      19.00 0.00      20.00 0.00     16.978    21.6375
4      14.00 0.00      13.00 0.00      20.00 0.00      21.00 0.00     15.517    12.0575
4      15.00 0.00      14.00 0.00      21.00 0.00      22.00 0.00     14.641     3.2896
4      16.00 0.00      15.00 0.00      22.00 0.00      23.00 0.00     14.190    -6.6077
4      17.00 0.00      16.00 0.00      23.00 0.00      24.00 0.00     12.692   -15.1832
4      18.00 0.00      17.00 0.00      24.00 0.00      25.00 0.00      5.206    30.1341
4      19.00 0.00      18.00 0.00      25.00 0.00      26.00 0.00      3.073   104.0610
4      20.00 0.00      19.00 0.00      26.00 0.00      27.00 0.00      6.152    54.6637
4      21.00 0.00      20.00 0.00      27.00 0.00      28.00 0.00      7.768    45.9487
4      22.00 0.00      21.00 0.00      28.00 0.00      29.00 0.00      8.155    45.2074
4      23.00 0.00      22.00 0.00      29.00 0.00      30.00 0.00      8.034    47.2847
4      24.00 0.00      23.00 0.00      30.00 0.00      31.00 0.00      6.640    57.6864
4      25.00 0.00      24.00 0.00      31.00 0.00      32.00 0.00      3.532   108.7636
4      26.00 0.00      25.00 0.00      32.00 0.00      33.00 0.00      6.027    36.3867
4      27.00 0.00      26.00 0.00      33.00 0.00      34.00 0.00     11.542   -17.2055
4       1.00 0.00       0.00 0.00       8.00 0.00       9.00 0.00     31.099    63.3364
4       2.00 0.00       1.00 0.00       9.00 0.00      10.00 0.00     31.251    63.6805
4       3.00 0.00       2.00 0.00      10.00 0.00      11.00 0.00     31.470    64.0890
4       4.00 0.00       3.00 0.00      11.00 0.00      12.00 0.00     31.780    64.6651
4       5.00 0.00       4.00 0.00      12.00 0.00      13.00 0.00     32.229    65.4230
4       6.00 0.00       5.00 0.00      13.00 0.00      14.00 0.00     32.890    66.4833
4       7.00 0.00       6.00 0.00      14.00 0.00      15.00 0.00     33.887    67.9067
4       8.00 0.00       7.00 0.00      15.00 0.00      16.00 0.00     35.382    69.8939
4       9.00 0.00       8.00 0.00      16.00 0.00      17.00 0.00     36.298    72.2674
4      10.00 0.00       9.00 0.00      17.00 0.00      18.00 0.00     27.701    60.2783
4      11.00 0.00      10.00 0.00      18.00 0.00      19.00 0.00     20.616    39.1981
4      12.00 0.00      11.00 0.00      19.00 0.00      20.00 0.00     17.852    25.7930
4      13.00 0.00      12.00 0.00      20.00 0.00      21.00 0.00     16.436    16.0347
4      14.00 0.00      13.00 0.00      21.00 0.00      22.00 0.00     15.682     7.0214
4      15.00 0.00      14.00 0.00      22.00 0.00      23.00 0.00     15.495    -3.2478
4      16.00 0.00      15.00 0.00      23.00 0.00      24.00 0.00     14.676   -11.2585
4      17.00 0.00      16.00 0.00      24.00 0.00      25.00 0.00      6.583    40.7304
4      18.00 0.00      17.00 0.00      25.00 0.00      26.00 0.00      3.180    97.8825
4      19.00 0.00      18.00 0.00      26.00 0.00      27.00 0.00      5.991    46.9969
4      20.00 0.00      19.00 0.00      27.00 0.00      28.00 0.00      7.666    39.4956
4      21.00 0.00      20.00 0.00      28.00 0.00      29.00 0.00      8.207    39.1052
4      22.00 0.00      21.00 0.00      29.00 0.00      30.00 0.00      8.400    40.1190
4      23.00 0.00      22.00 0.00      30.00 0.00      31.00 0.00      8.267    42.8527
4      24.00 0.00      23.00 0.00      31.00 0.00      32.00 0.00      6.877    53.2579
4      25.00 0.00      24.00 0.00      32.00 0.00      33.00 0.00      3.612   103.7618
4      26.00 0.00      25.00 0.00      33.00 0.00      34.00 0.00      5.916    37.1865
4       1.00 0.00       0.00 0.00       9.00 0.00      10.00 0.00     32.690    67.9100
4       2.00 0.00       1.00 0.00      10.00 0.00      11.00 0.00     32.948    68.3929
4       3.00 0.00       2.00 0.00      11.00 0.00      12.00 0.00     33.315    68.9892
4       4.00 0.00       3.00 0.00      12.00 0.00      13.00 0.00     33.835    69.8051
4       5.00 0.00       4.00 0.00      13.00 0.00      14.00 0.00     34.586    70.8604
4       6.00 0.00       5.00 0.00      14.00 0.00      15.00 0.00     35.684    72.2662
4       7.00 0.00       6.00 0.00      15.00 0.00      16.00 0.00     37.256    74.2277
4       8.00 0.00       7.00 0.00      16.00 0.00      17.00 0.00     38.037    76.5150
4       9.00 0.00       8.00 0.00      17.00 0.00      18.00 0.00     28.741    64.3030
4      10.00 0.00       9.00 0.00      18.00 0.00      19.00 0.00     21.365    42.8559
4      11.00 0.00      10.00 0.00      19.00 0.00      20.00 0.00     18.565    29.2291
4      12.00 0.00      11.00 0.00      20.00 0.00      21.00 0.00     17.188    19.2738
4      13.00 0.00      12.00 0.00      21.00 0.00      22.00 0.00     16.529    10.0512
4      14.00 0.00      13.00 0.00      22.00 0.00      23.00 0.00     16.497    -0.3761
4      15.00 0.00      14.00 0.00      23.00 0.00      24.00 0.00     15.803    -8.2298
4      16.00 0.00      15.00 0.00      24.00 0.00      25.00 0.00      7.438    45.2164
4      17.00 0.00      16.00 0.00      25.00 0.00      26.00 0.00      4.179   105.6406
4      18.00 0.00      17.00 0.00      26.00 0.00      27.00 0.00      6.229    43.8339
4      19.00 0.00      18.00 0.00      27.00 0.00      28.00 0.00      7.336    32.5483
4      20.00 0.00      19.00 0.00      28.00 0.00      29.00 0.00      7.962    32.9952
4      21.00 0.00      20.00 0.00      29.00 0.00      30.00 0.00      8.321    34.3178
4      22.00 0.00      21.00 0.00      30.00 0.00      31.00 0.00      8.498    36.1815
4      23.00 0.00      22.00 0.00      31.00 0.00      32.00 0.00      8.401    39.2443
4      24.00 0.00      23.00 0.00      32.00 0.00      33.00 0.00      7.044    49.5787
4      25.00 0.00      24.00 0.00      33.00 0.00      34.00 0.00      3.624   102.3616
0
0
0
0
0
