24 # position of electrodes
#	x	y	z
0	0	0
1	0	0
2	0	0
3	0	0
4	0	0
5	0	0
6	0	0
7	0	0
8	0	0
9	0	0
10	0	0
11	0	0
12	0	0
13	0	0
14	0	0
15	0	0
16	0	0
17	0	0
18	0	0
19	0	0
20	0	0
21	0	0
22	0	0
23	0	0
218 # Number of data
#a	b	m	n	R	ip
1	2	3	4	-4.293367088607595	-4.9101
3	10	13	19	-1.3208553016988869	-1.461
3	10	15	19	-0.5802054054054053	-1.4959
3	10	17	19	-0.1849392477603279	-1.8237
3	10	23	24	-0.04349440556323274	-1.0844
19	21	22	23	-5.044579617834395	-2.0179
19	21	23	24	-0.8959945054945055	-1.2689
1	3	4	6	-5.230401968826907	-1.9038
1	3	6	10	-0.4488663772310661	-1.135
1	3	8	10	-0.1361900923052118	-2.6859
1	3	10	13	-0.1024538701174215	-0.88261
1	3	12	13	-0.03205288745257833	-4.0315
1	3	13	17	-0.08538868583945558	-2.2705
1	3	15	17	-0.03645331553434825	-0.6435
1	3	17	21	-0.040705945481863064	3.1468
1	3	19	21	-0.02092814212480113	6.3038
1	3	21	23	-0.012177058138133311	-20.5432
1	3	22	23	-0.006527702842296607	-1.4066
1	3	23	24	-0.0056742584432007545	-8.3113
3	6	8	10	-0.9449741876708169	-1.1535
3	6	10	13	-0.35768022840827984	-1.5169
3	6	12	13	-0.10149097509327418	-1.3851
3	6	13	17	-0.24299149110095491	-1.7185
3	6	15	17	-0.09936846965699207	-1.5956
3	6	17	21	-0.10431309904153353	-2.2499
3	6	19	21	-0.05279574311153259	-2.4764
3	6	21	23	-0.03006296037499636	-2.6285
3	6	22	23	-0.015992499401547993	-2.6257
3	6	23	24	-0.013772818298952704	-1.9977
6	10	12	13	-0.7891327791507526	-1.3397
6	10	13	17	-0.8924818959842001	-1.3605
6	10	15	17	-0.2958398826979472	-1.1516
6	10	17	21	-0.25830397251827714	-2.1324
6	10	19	21	-0.12485118765221243	-2.5677
6	10	21	23	-0.0672747967797405	-1.3198
6	10	22	23	-0.03520158800560064	-2.3679
6	10	23	24	-0.029679788910729785	-1.5458
10	13	15	17	-0.9188187063467962	-1.0448
10	13	17	21	-0.44130273528048214	-1.9673
10	13	19	21	-0.19288632024004365	-2.104
10	13	21	23	-0.0934017333450057	-0.93759
10	13	22	23	-0.04797977608705401	-2.1398
10	13	23	24	-0.039025912010110894	-1.0198
13	17	19	21	-1.5739678372169346	-1.8699
13	17	21	23	-0.41109455958549224	-1.5926
13	17	22	23	-0.19733342739233184	-1.7609
13	17	23	24	-0.1446320194510684	-1.2861
17	21	22	23	-5.315647816750179	-1.9612
17	21	23	24	-1.0494855088744104	-1.0968
2	4	6	8	-0.6055963302752294	-0.36373
2	4	8	12	-0.2727923760177646	-1.0657
2	4	10	12	-0.08777245413876168	-1.1001
2	4	12	15	-0.0963232075636873	-1.5874
2	4	13	15	-0.057807305358448795	-2.3342
2	4	15	19	-0.06456307644208222	-1.4497
2	4	17	19	-0.02240013512372266	1.0982
2	4	19	22	-0.02984037907240807	-1.3582
2	4	21	22	-0.0059841908998956115	35.0352
2	4	23	24	-0.0062705837238648575	-7.6123
4	8	10	12	-0.8844601247128323	-1.8361
4	8	12	15	-0.5205470560964301	-1.5235
4	8	13	15	-0.2904480938416422	-1.787
4	8	15	19	-0.2764194486038933	-1.6715
4	8	17	19	-0.09154632001771199	-2.8433
4	8	19	22	-0.11483666134185302	-2.4824
4	8	21	22	-0.023709575165134857	-10.7451
4	8	23	24	-0.02299817814160675	-0.56426
8	12	13	15	-3.691928504233301	-1.3638
8	12	15	19	-0.7592495062541145	-1.1746
8	12	17	19	-0.20689442815249268	-1.5296
8	12	19	22	-0.22082227919592765	-2.0003
8	12	21	22	-0.04368190748347919	-1.7959
8	12	23	24	-0.038935463057846315	-1.2849
12	15	17	19	-0.8925660491952626	-1.6516
12	15	19	22	-0.5021607015397165	-1.7087
12	15	21	22	-0.08580982151860442	-0.60598
12	15	23	24	-0.06836546083989764	-1.4905
15	19	21	22	-0.6907189395641429	-0.52709
15	19	23	24	-0.2452759331348752	-0.62396
1	4	6	10	-0.9811333847340016	-0.73478
1	4	8	10	-0.24734375	-1.6542
1	4	10	15	-0.2567331613642878	-1.4411
1	4	12	15	-0.1352003344714654	-2.5246
1	4	13	15	-0.08138258575197889	-3.9593
1	4	15	21	-0.12587961079468402	-0.85224
1	4	17	21	-0.06603579127398408	-1.5717
1	4	19	21	-0.03380018633359536	-0.66096
1	4	21	23	-0.0197526543421711	-9.0316
1	4	22	23	-0.010508059838561554	-3.395
1	4	23	24	-0.009155457361544533	-4.7843
4	10	12	15	-1.5817491610738255	-1.4635
4	10	13	15	-0.7108276603367969	-1.5814
4	10	15	21	-0.7110998287252264	-1.6012
4	10	17	21	-0.33843413689195007	-1.9689
4	10	19	21	-0.16510327614330916	-2.2784
4	10	21	23	-0.09012967370822177	-2.5363
4	10	22	23	-0.047350369051778154	-2.2586
4	10	23	24	-0.04017101296146174	-2.1817
10	15	17	21	-1.5325266429840143	-1.6937
10	15	19	21	-0.51814221331998	-1.7691
10	15	21	23	-0.22366391063418065	-1.7504
10	15	22	23	-0.11338457340367472	-1.8213
10	15	23	24	-0.08975085738687165	-1.5137
15	21	22	23	-5.43419689119171	-1.9576
15	21	23	24	-1.14475	-1.2038
2	6	8	12	-1.3192932267564157	-1.3991
2	6	10	12	-0.2931319393042191	-1.6996
2	6	12	17	-0.4047306681049012	-1.6518
2	6	13	17	-0.2871972165947327	-1.5387
2	6	15	17	-0.11795995825030837	-2.1406
2	6	19	22	-0.08019347597584223	-2.9999
2	6	21	22	-0.016948338347921227	14.0913
2	6	23	24	-0.016685307017543862	0.43703
6	12	13	17	-4.534570765661253	-1.345
6	12	15	17	-0.6593622357577928	-0.93619
6	12	19	22	-0.2842917193997469	-2.1139
6	12	21	22	-0.05668046951778359	-4.655
6	12	23	24	-0.051403379867744306	-1.3654
12	17	19	22	-1.902158215010142	-1.7321
12	17	21	22	-0.2349454276376642	-1.7219
12	17	23	24	-0.1626136182427045	-1.2058
17	22	23	24	-3.4199604743083003	-1.1277
